,NumUniqueAdresses
2009-09-14 18:15:05,81.0
2009-09-15 18:15:05,56.0
2009-09-16 18:15:05,59.0
2009-09-17 18:15:05,85.0
2009-09-18 18:15:05,81.0
2009-09-19 18:15:05,71.0
2009-09-20 18:15:05,79.0
2009-09-21 18:15:05,74.0
2009-09-22 18:15:05,35.0
2009-09-23 18:15:05,28.0
2009-09-24 18:15:05,82.0
2009-09-25 18:15:05,102.0
2009-09-26 18:15:05,94.0
2009-09-27 18:15:05,90.0
2009-09-28 18:15:05,88.0
2009-09-29 18:15:05,85.0
2009-09-30 18:15:05,87.0
2009-10-01 18:15:05,85.0
2009-10-02 18:15:05,76.0
2009-10-03 18:15:05,58.0
2009-10-04 18:15:05,61.0
2009-10-05 18:15:05,58.0
2009-10-06 18:15:05,42.0
2009-10-07 18:15:05,51.0
2009-10-08 18:15:05,70.0
2009-10-09 18:15:05,78.0
2009-10-10 18:15:05,77.0
2009-10-11 18:15:05,79.0
2009-10-12 18:15:05,63.0
2009-10-13 18:15:05,51.0
2009-10-14 18:15:05,56.0
2009-10-15 18:15:05,85.0
2009-10-16 18:15:05,66.0
2009-10-17 18:15:05,55.0
2009-10-18 18:15:05,65.0
2009-10-19 18:15:05,99.0
2009-10-20 18:15:05,111.0
2009-10-21 18:15:05,85.0
2009-10-22 18:15:05,88.0
2009-10-23 18:15:05,87.0
2009-10-24 18:15:05,75.0
2009-10-25 18:15:05,74.0
2009-10-26 18:15:05,65.0
2009-10-27 18:15:05,67.0
2009-10-28 18:15:05,64.0
2009-10-29 18:15:05,51.0
2009-10-30 18:15:05,62.0
2009-10-31 18:15:05,45.0
2009-11-01 18:15:05,30.0
2009-11-02 18:15:05,33.0
2009-11-03 18:15:05,57.0
2009-11-04 18:15:05,62.0
2009-11-05 18:15:05,65.0
2009-11-06 18:15:05,49.0
2009-11-07 18:15:05,76.0
2009-11-08 18:15:05,70.0
2009-11-09 18:15:05,65.0
2009-11-10 18:15:05,71.0
2009-11-11 18:15:05,71.0
2009-11-12 18:15:05,70.0
2009-11-13 18:15:05,73.0
2009-11-14 18:15:05,83.0
2009-11-15 18:15:05,96.0
2009-11-16 18:15:05,100.0
2009-11-17 18:15:05,91.0
2009-11-18 18:15:05,79.0
2009-11-19 18:15:05,73.0
2009-11-20 18:15:05,84.0
2009-11-21 18:15:05,77.0
2009-11-22 18:15:05,100.0
2009-11-23 18:15:05,96.0
2009-11-24 18:15:05,102.0
2009-11-25 18:15:05,85.0
2009-11-26 18:15:05,78.0
2009-11-27 18:15:05,75.0
2009-11-28 18:15:05,78.0
2009-11-29 18:15:05,58.0
2009-11-30 18:15:05,74.0
2009-12-01 18:15:05,66.0
2009-12-02 18:15:05,100.0
2009-12-03 18:15:05,85.0
2009-12-04 18:15:05,49.0
2009-12-05 18:15:05,52.0
2009-12-06 18:15:05,109.0
2009-12-07 18:15:05,94.0
2009-12-08 18:15:05,120.0
2009-12-09 18:15:05,104.0
2009-12-10 18:15:05,108.0
2009-12-11 18:15:05,125.0
2009-12-12 18:15:05,102.0
2009-12-13 18:15:05,104.0
