"OutputVolume","seasonal","trend","remainder"
6150,2933.42153784727,1892.67584956538,1323.90261258735
6900,2933.42153784727,-8821.43895507919,12788.0174172319
5650,-27265.2924403052,-20569.8824112361,53485.1748515413
5200,-27265.2924403052,-32318.325867393,64783.6183076982
5700,-27265.2924403052,-41224.7909314652,74190.0833717705
5300,-27265.2924403052,-50131.2559955375,82696.5484358427
6550,-36622.884774828,-52528.2224830715,95701.1072578995
6300,-36622.884774828,-54925.1889706055,97848.0737454335
5550,-36622.884774828,-46838.881399408,89011.766174236
7150,-36622.884774828,-38752.5738282105,82525.4586030385
5650,44585.604156192,-21775.2479153393,-17160.3562408527
5250,44585.604156192,-4797.92200246811,-34537.6821537239
5400,44585.604156192,11687.0648323278,-50872.6689885198
6050,44585.604156192,28172.0516671237,-66707.6558233157
6450,86958.761263814,46121.3933324985,-126630.154596312
5800,86958.761263814,64070.7349978732,-145229.496261687
5550,86958.761263814,81236.2205721717,-162644.981835986
8900,86958.761263814,98401.7061464702,-176460.467410284
5750,76034.5305214915,112599.042270681,-182883.572792173
5500,76034.5305214915,126796.378394893,-197330.908916384
6800,76034.5305214915,138779.621431569,-208014.151953061
6500,76034.5305214915,150762.864468246,-220297.394989738
3850,65189.2386959133,157334.320641137,-218673.559337051
5300,65189.2386959133,163905.776814028,-223795.015509942
6600,65189.2386959133,169467.978049256,-228057.21674517
5250,65189.2386959133,175030.179284484,-234969.417980398
5800,89562.677931532,183386.369893177,-267149.047824709
7050,89562.677931532,191742.56050187,-274255.238433402
5500,89562.677931532,198835.04671538,-282897.724646912
6950,89562.677931532,205927.53292889,-288540.210860422
5600,103166.517719333,209028.826698216,-306595.344417548
6250,103166.517719333,212130.120467542,-309046.638186874
7250,103166.517719333,213986.058269569,-309902.575988901
5350,103166.517719333,215841.996071596,-313658.513790928
6000,525288.669603762,216017.295386382,-735305.964990144
5650,525288.669603762,216192.594701168,-735831.26430493
5650,525288.669603762,212774.133186941,-732412.802790702
6450,525288.669603762,209355.671672713,-728194.341276475
6600,568885.425056596,203153.791927914,-765439.21698451
4950,568885.425056596,196951.912183115,-760887.337239711
5200,568885.425056596,191705.686986983,-755391.112043578
4950,568885.425056596,186459.46179085,-750394.886847446
5150,124716.834501419,179443.733940756,-299010.568442176
6450,124716.834501419,172428.006090662,-290694.840592082
5750,124716.834501419,157177.416511714,-276144.251013133
6750,124716.834501419,141926.826932766,-259893.661434185
6350,98321.0928591697,132965.36557092,-224936.45843009
5600,98321.0928591697,124003.904209075,-216724.997068244
6150,98321.0928591697,121137.307369322,-213308.400228491
5750,98321.0928591697,118270.710529569,-210841.803388739
6232.51,117371.665298402,113813.317286783,-224952.472585185
6400,117371.665298402,109355.924043997,-220327.589342399
8100,117371.665298402,119348.797319302,-228620.462617704
9700,117371.665298402,129341.670594608,-237013.33589301
6050,79972.9889677746,149639.154639083,-223562.143606857
4000,79972.9889677746,169936.638683557,-245909.627651332
5650,79972.9889677746,187257.606071675,-261580.595039449
6100,79972.9889677746,204578.573459792,-278451.562427567
6200,37875.3503336596,223056.788707175,-254732.139040835
5250,37875.3503336596,241535.003954558,-274160.354288217
5850,37875.3503336596,258265.692836231,-290291.04316989
6150,37875.3503336596,274996.381717904,-306721.732051563
7600,29121.471851359,284073.69043433,-305595.162285689
6150,29121.471851359,293150.999150756,-316122.471002115
6200,29121.471851359,297503.597974019,-320425.069825378
6399.94,29121.471851359,301856.196797282,-324577.728648641
6210,42416.9933345083,303207.20672069,-339414.200055198
8100,42416.9933345083,304558.216644097,-338875.209978605
7350,42416.9933345083,307090.335868202,-342157.32920271
6050,42416.9933345083,309622.455092307,-345989.448426815
6100,45792.815017732,310358.372345957,-350051.187363689
4550,45792.815017732,311094.289599607,-352337.104617339
3100,45792.815017732,308703.235927599,-351396.050945331
6050,45792.815017732,306312.182255592,-346054.997273324
6350,52338.5602139928,309478.240132716,-355466.800346708
5850,52338.5602139928,312644.298009839,-359132.858223832
6800.01,52338.5602139928,316372.981047758,-361911.531261751
7249.99,52338.5602139928,320101.664085678,-365190.23429967
6200,66936.2546257067,317356.817502791,-378093.072128497
6250,66936.2546257067,314611.970919904,-375298.22554561
6200,66936.2546257067,308050.045614247,-368786.300239954
5000,66936.2546257067,301488.12030859,-363424.374934297
5200,3555.52839035397,289892.771156435,-288248.299546789
4450,3555.52839035397,278297.42200428,-277402.950394634
4150,3555.52839035397,263661.333772972,-263066.862163326
350,3555.52839035397,249025.245541664,-252230.773932018
4800,-78191.752281361,237596.746629997,-154604.994348636
5600,-78191.752281361,226168.24771833,-142376.495436969
5650,-78191.752281361,222674.094873112,-138832.342591751
6250,-78191.752281361,219179.942027894,-134738.189746533
5150,-69580.7383117057,219933.299330794,-145202.561019089
8350,-69580.7383117057,220686.656633694,-142755.918321989
5150,-69580.7383117057,212171.823169926,-137441.08485822
5900,-69580.7383117057,203656.989706158,-128176.251394452
3700,-50203.4552097415,183536.198282083,-129632.743072342
4450,-50203.4552097415,163415.406858008,-108761.951648267
4900,-50203.4552097415,142836.219483882,-87732.7642741402
1950,-50203.4552097415,122257.032109755,-70103.5769000134
2850,-55786.7648025125,101011.382804212,-42374.6180016994
1200,-55786.7648025125,79765.7334986688,-22778.9686961564
200,-55786.7648025125,63068.0216347898,-7081.25683227731
3600,-55786.7648025125,46370.3097709107,13016.4550316018
4700,-83185.3455013396,41639.3443453778,46246.0011559618
4150,-83185.3455013396,36908.3789198449,50426.9665814947
4650,-83185.3455013396,33455.0912318883,54380.2542694513
4550,-83185.3455013396,30001.8035439317,57733.5419574079
3700,-107311.567362835,23768.245746076,87243.3216167589
3500,-107311.567362835,17534.6879482203,93276.8794146146
4100,-107311.567362835,12665.7442769916,98745.8230858434
3650,-107311.567362835,7796.80060576277,103164.766757072
3850,-102376.736369469,5827.91767059821,100398.818698871
4050,-102376.736369469,3859.03473543366,102567.701634035
4350,-102376.736369469,9504.01534858586,97222.7210208833
4200,-102376.736369469,15148.9959617381,91427.740407731
3750,-129585.012434331,23949.3536154504,109385.658818881
7000,-129585.012434331,32749.7112691626,103835.301165169
3800,-129585.012434331,44917.8830548823,88467.129379449
4398.98,-129585.012434331,57086.054840602,76897.9375937294
3700,-141614.483228214,73865.3894263503,71449.0938018633
