"CostPerTransactionPercent","seasonal","trend","remainder"
1700,-68035.0708239929,280683.192094335,-210948.121270342
3337.65069244,-69408.6679254995,260423.143413491,-187676.824795552
2450.19920319,-57938.2098768948,229285.969730274,-168897.56065019
0,-58014.4896012785,198148.796047058,-140134.306445779
25869.5652174,-57761.264921004,142865.084960471,-59234.2548220669
0,-57275.8850439423,87581.373873884,-30305.4888299417
4238.0952381,-44832.8756182383,79528.7694321245,-30457.7985757862
3750,-44909.9801309866,71476.164990365,-22816.1848593784
755000,-44657.4342605942,87988.5227071642,711668.91155343
13425.9259259,-44171.8825678838,104500.880423963,-46903.0719301796
309.923664122,-39872.2869948001,118747.587589487,-78565.3769305651
1393.10344828,-39950.216295913,132994.294755011,-91650.9750108181
4425,-39698.1433035245,134652.668964174,-90529.5256606493
467.567567568,-39212.6257270436,136311.043173336,-96630.8498787248
1754.54545455,-57508.2094444679,134376.323387332,-75113.5684883144
1125,-57586.9635339454,132441.603601328,-73729.640067383
624.242424242,-57335.3634195607,115567.576710965,-57607.9708671626
331.481481481,-56849.8799593094,98693.5498206022,-41512.1883798118
0,-61346.5526330722,81762.3758777348,-20415.8232446626
900,-61426.1315109141,64831.2019348674,-2505.07042395329
3299.81143935,-61175.0042745333,62993.4995522222,1481.3161616611
88.9757259693,-60689.5549305116,61155.797169577,-377.26651309614
734.615384615,-66811.0693361856,61193.8792137279,6351.8055070727
1290.52369077,-66891.4730023921,61231.9612578787,6950.03543528339
150.62821245,-66640.8186440151,61275.1635294483,5516.28332701683
5225,-66155.4034162229,61318.3658010179,10062.0376152051
15.5882352941,-87707.7646593215,61722.4046784762,26000.9482161395
1112.5,-87788.9931138926,62126.4435559345,26775.0495579582
105.949008499,-87538.8116335195,63453.7136492174,24191.0469928011
509.322419281,-87053.4305219569,64780.9837425002,22781.7691987376
52.8218401385,-81543.6582356732,66386.1592992659,15210.3207765458
301.758025948,-81625.7114786089,67991.3348560316,13936.1346485254
434.456631298,-81376.0028762396,68151.229112029,13659.2303955087
31.7810221818,-80890.6558809066,68311.1233680264,12611.313535062
154.463801509,-77462.6044471689,68332.3687108685,9284.69953780933
1278.516635,-77545.4824784691,68353.6140537107,10470.3850597584
22186.6879872,-77296.2467541036,68388.6588359294,31094.2759053742
689.179875948,-76810.9338750002,68423.7036181482,9076.41013279995
65.214055547,-85988.0751381456,68475.1938424683,17578.0953512243
25100,-86071.7779578104,68526.6840667883,42645.093891022
179.245283019,-85823.0151114488,68545.4785852131,17456.7818092547
1057.14285714,-85337.7363485748,68564.2731036378,17830.606102077
64.582059104,-77116.9781985157,68556.0600077507,8625.50024986896
1922.22222222,-77201.505806545,68547.8469118636,10575.8811169014
154.285714286,-76953.2158381873,68516.2761963552,8591.2253561181
930,-76467.971191543,68484.7054808468,8913.26571069616
376.923076923,-70919.896271948,68051.199576337,3245.61977253402
2960,-71005.248668342,67617.6936718273,6347.55499651468
88.3495145631,-70757.4315779881,67052.7186791505,3793.06241340064
45.6919060052,-70272.2210475733,66487.7436864738,3830.16926710472
38.6949606474,-75451.3505898254,66417.9079204892,9072.13762998361
114.496440683,-75537.5277745839,66348.0721545046,9303.95206076227
75.4668400924,-75290.1835622338,66326.4356623503,9039.21473997596
185,-74805.0071480486,66304.7991701959,8685.2079778527
551.443375278,-70135.8728951292,66287.392943299,4399.92332710818
167.777522409,-70222.8748682522,66269.9867164021,4120.66567425916
2360,-69976.003533906,66258.8240402107,6077.17949369526
415.789473684,-69490.8612359504,66247.6613640194,3658.98934561494
403.225806452,-64241.4832323272,66274.1315777373,-1629.42253895811
88571.4285714,-64329.3099938148,66300.6017914553,86600.1367737596
4533.33333333,-64082.9115374725,66593.0388942674,2023.2059765351
285.913528591,-63597.8033557464,66885.4759970795,-3001.75911274209
