"HashRate","seasonal","trend","remainder"
0.0062137837037,42693543.6339068,-78781718.8234656,36088175.1957726
0.00561726046815,42766936.1756993,-79304515.2365441,36537579.0664621
0.00531899885037,42805330.5105791,-79827311.6496226,37021981.1443626
0.00596523235556,53735810.0000591,-80344886.2734981,26609076.2794043
0.00561726046815,53804716.0667872,-80862460.8973736,27057744.8362036
0.00561726046815,53878145.5629884,-81363133.446869,27484987.8894979
0.00641262478222,53916620.5121442,-81863805.9963644,27947185.4906328
0.00571668100741,47104172.5568906,-82352416.9841784,35248244.4330045
0.00492131669333,47173023.6453434,-82841027.9719924,35668004.3315703
0.00516986804148,47246490.0959532,-83312171.9056919,36065681.8149086
0.00492131669333,47285045.6593851,-83783315.8393914,36498270.1849276
0.00512015777185,42631220.3041892,-84208954.9371591,41577734.63809
