"MinersRevenue","seasonal","trend","remainder"
0,150548.123676994,-27719.5658117288,-122828.557865265
0,150548.123676994,-28295.6336343746,-122252.490042619
0,150548.123676994,-28871.7014570205,-121676.422219974
0,146793.791961627,-29819.9873761748,-116973.804585453
0,146793.791961627,-30768.2732953291,-116025.518666298
0,146793.791961627,-31895.4364173416,-114898.355544286
0,146793.791961627,-33022.599539354,-113771.192422273
0,144398.441686889,-33918.311531046,-110480.130155843
0,144398.441686889,-34814.023522738,-109584.418164151
0,144398.441686889,-35204.1846141694,-109194.25707272
0,144398.441686889,-35594.3457056008,-108804.095981288
0,140487.537132388,-35555.6603469622,-104931.876785426
0,140487.537132388,-35516.9749883235,-104970.562144065
0,140487.537132388,-34788.5505418736,-105698.986590515
0,140487.537132388,-34060.1260954236,-106427.411036965
0,136060.876883328,-32814.7363932036,-103246.140490125
0,136060.876883328,-31569.3466909835,-104491.530192345
0,136060.876883328,-30117.3449867989,-105943.531896529
0,136060.876883328,-28665.3432826143,-107395.533600714
0,132258.722262669,-27300.1213748173,-104958.600887852
0,132258.722262669,-25934.8994670204,-106323.822795648
0,132258.722262669,-24654.4012158762,-107604.321046793
0,132258.722262669,-23373.9029647321,-108884.819297937
0,131569.077512955,-22130.050292048,-109439.027220907
0,131569.077512955,-20886.1976193638,-110682.879893592
0,131569.077512955,-19356.6037946147,-112212.473718341
0,131569.077512955,-17827.0099698656,-113742.06754309
0,129802.781607761,-15802.3614745178,-114000.420133244
0,129802.781607761,-13777.71297917,-116025.068628591
0,129802.781607761,-11353.785124082,-118448.996483679
0,129802.781607761,-8929.85726899398,-120872.924338767
0,125657.685017959,-6477.26496717587,-119180.420050783
0,125657.685017959,-4024.67266535775,-121633.012352601
0,125657.685017959,-1793.72886609443,-123863.956151865
0,125657.685017959,437.214933168896,-126094.899951128
0,123314.684839384,2479.62350075606,-125794.30834014
0,123314.684839384,4522.03206834323,-127836.716907728
0,123314.684839384,6410.12187541095,-129724.806714795
0,123314.684839384,8298.21168247868,-131612.896521863
0,120353.003805106,10164.5616214723,-130517.565426578
0,120353.003805106,12030.911560466,-132383.915365572
0,120353.003805106,14119.6487479517,-134472.652553058
0,120353.003805106,16208.3859354374,-136561.389740543
0,118388.634760286,18531.8300059191,-136920.464766205
0,118388.634760286,20855.2740764007,-139243.908836687
0,118388.634760286,23409.6632054907,-141798.297965777
0,118388.634760286,25964.0523345807,-144352.687094867
0,115770.522583615,28836.4156587591,-144606.938242374
0,115770.522583615,31708.7789829374,-147479.301566552
0,115770.522583615,35293.115630255,-151063.63821387
0,115770.522583615,38877.4522775726,-154647.974861188
0,113271.981711558,43430.7517015876,-156702.733413146
0,113271.981711558,47984.0511256026,-161256.032837161
0,113271.981711558,53266.3202894968,-166538.302001055
0,113271.981711558,58548.5894533909,-171820.571164949
0,111810.422655033,64043.0698703211,-175853.492525354
0,111810.422655033,69537.5502872514,-181347.972942284
0,111810.422655033,75213.17108399,-187023.593739023
0,111810.422655033,80888.7918807286,-192699.214535761
0,108870.908765346,86536.7758745215,-195407.684639868
0,108870.908765346,92184.7598683144,-201055.668633661
0,108870.908765346,97542.0836599661,-206412.992425312
0,108870.908765346,102899.407451618,-211770.316216964
0,105814.974233133,107889.73919987,-213704.713433002
0,105814.974233133,112880.070948121,-218695.045181254
