"Date","seasonal","trend","remainder"
15363,-38.9016359644984,15398.8541453845,3.0474905800038
15364,-40.2281678815174,15398.8541453845,5.37402249702245
15365,-40.1889004017935,15398.8541453845,6.33475501729845
15366,-40.1492649159582,15398.8541453845,7.29511953146357
15367,-40.1141982414989,15398.8541453845,8.26005285700376
15368,-40.9611042003939,15398.8032698374,10.1578343629626
15369,-40.9218395067588,15398.7523942904,11.1694452163902
15370,-40.8822037169524,15398.7388399332,12.1433637837472
15371,-40.847111650826,15398.725285576,13.1218260747846
15372,-41.4121399380145,15398.7110918572,14.7010480808058
15373,-41.3728780304683,15398.6968981384,15.6759798920921
15374,-41.3332419366908,15398.6247242508,16.7085176858945
15375,-41.2981244788972,15398.5525503632,17.7455741156809
15376,-41.6897643637575,15398.8148372132,18.8749271505658
15377,-41.6505052423001,15399.0771240632,19.573381179136
15378,-41.6108688445516,15398.9073510437,20.7035178008773
15379,-41.5757259950908,15398.7375780242,21.8381479709078
15380,-41.8714477592009,15398.6911637982,23.1802839610464
15381,-41.8321914238323,15398.6447495721,24.1874418517073
15382,-41.7925547221127,15398.740236665,25.0523180571508
15383,-41.7573864809849,15398.8357237578,25.9216627231872
15384,-41.8507881866022,15398.8388396754,27.01194851123
15385,-41.8115346373224,15398.8419555929,27.9695790443748
15386,-41.7718976316317,15398.8427901502,28.9291074814246
15387,-41.7367039988367,15398.8436247075,29.893079291367
15388,-42.6942468044135,15398.8434593911,31.8507874132865
15389,-42.6549960412226,15398.8432940748,32.8117019664405
15390,-42.6153587315608,15398.843245209,33.7721135225802
15391,-42.5801397070987,15398.8431963432,34.7369433639196
15392,-42.5691871960972,15398.8431675748,35.7260196212628
15393,-42.5299392189951,15398.8431388065,36.6868004125063
15394,-42.4903016053622,15398.8420418839,37.6482597214272
15395,-42.455057189233,15398.8409449614,38.6141122278514
15396,-41.504662669109,15398.8383775883,38.6662850808298
15397,-41.4654174780958,15398.8358102152,39.6296072629157
15398,-41.4257795604918,15398.826804112,40.5989754485199
15399,-41.3905097526955,15398.8177980088,41.572711743931
15400,-40.7501617072551,15398.8152507752,41.9349109320756
15401,-40.7109193023307,15398.8127035416,42.8982157607352
15402,-40.6712810807556,15398.8127035416,43.8585775391584
15403,-40.6359858812922,15398.8127035416,44.8232823396957
15404,-39.7079612729392,15398.8303985696,44.8775627033374
15405,-39.6687216541036,15398.8480935976,45.8206280564955
15406,-39.6290831285574,15398.8246411638,46.8044419647867
15407,-39.5937625374268,15398.8011887299,47.7925738074955
15408,-39.1522228054433,15398.8451479255,48.30707487994
15409,-39.1129859726966,15398.8891071211,49.2238788516206
15410,-39.0733471431793,15398.8891071211,50.184240022103
15411,-39.0380011603816,15398.8891071211,51.1488940393047
15412,-38.3187755352383,15398.8891071211,51.4296684141627
15413,-38.2795414885804,15398.8891071211,52.390434367504
15414,-38.239902355092,15398.8891071211,53.3507952340151
15415,-38.2045309806272,15398.8891071211,54.3154238595507
15416,-37.3360861097132,15398.9008629138,54.4352231959238
15417,-37.2968548491442,15398.9126187065,55.3842361426396
15418,-37.2572154116848,15398.9128275801,56.3443878316248
