"BlockSize","seasonal","trend","remainder"
0,1250.81850055603,3202.34102526098,-4453.15952581701
0,1273.44413588819,3181.64421504996,-4455.08835093815
0,1275.52954299227,3160.94740483893,-4436.47694783121
0,1277.6149773322,3154.22789940281,-4431.84287673501
0,1279.51308412873,3147.50839396669,-4427.02147809542
0,1299.96279258898,3116.67897555603,-4416.64176814501
0,1302.04819934236,3085.84955714537,-4387.89775648773
0,1304.13363368228,3066.24197858973,-4370.37561227201
0,1306.03308210076,3046.63440003409,-4352.66748213485
0,1328.559949161,3005.14249468011,-4333.70244384111
0,1330.64535556369,2963.65058932613,-4294.29594488981
0,1332.73078990361,2951.89901513818,-4284.62980504179
0,1334.63148687146,2940.14744095023,-4274.77892782169
0,1358.87466894611,2928.05456863901,-4286.92923758511
0,1360.96007499808,2915.96169632778,-4276.92177132587
0,1363.04550933801,2899.8362884309,-4262.88179776891
0,1364.94745485523,2883.71088053401,-4248.65833538924
0,1388.34940197121,2863.78641803479,-4252.13582000601
0,1390.43480767249,2843.86195553557,-4234.29676320806
0,1392.52024201241,2822.94638036826,-4215.46662238067
0,1394.42343607901,2802.03080520094,-4196.45424127995
0,1420.78548934163,2781.24043482005,-4202.02592416168
0,1422.87089469221,2760.45006443915,-4183.32095913136
0,1424.95632903213,2740.42239147332,-4165.37872050545
0,1426.8607716481,2720.39471850748,-4147.25549015559
0,1452.83791279041,2697.99873387233,-4150.83664666274
0,1454.92331779028,2675.60274923718,-4130.52606702746
0,1457.00875213021,2654.29280362345,-4111.30155575365
0,1458.91444329555,2632.98285800972,-4091.89730130527
0,1483.69878801639,2611.27643489342,-4094.97522290981
0,1485.78419266555,2589.57001177713,-4075.35420444269
0,1487.86962700548,2569.03690332922,-4056.9065303347
0,1489.7765667202,2548.50379488131,-4038.2803616015
0,1511.18335461906,2528.56978857965,-4039.75314319872
0,1513.26875891753,2508.635782278,-4021.90454119553
0,1515.35419325745,2488.59741652724,-4003.95160978469
0,1517.26238152154,2468.55905077648,-3985.82143229803
0,1535.25381871404,2447.14635856336,-3982.4001772774
0,1537.3392226618,2425.73366635024,-3963.07288901204
0,1539.42465700173,2406.40682901829,-3945.83148602001
0,1541.33409381519,2387.07999168634,-3928.41408550153
