"BitcoinDaysDestroyedMinMonth","seasonal","trend","remainder"
0,176837.772984145,-627342.792069654,450505.019085508
0,322703.48830457,-504886.781717365,182183.293412795
0,322703.48830457,-382430.771365076,59727.2830605062
0,322703.48830457,-346001.805090499,23298.3167859291
0,322703.48830457,-309572.838815922,-13130.6494886481
0,465738.947260367,-302349.039963759,-163389.907296608
0,465738.947260367,-295125.241111596,-170613.706148771
0,465738.947260367,-245851.986759493,-219886.960500874
41699,465738.947260367,-196578.73240739,-227461.214852977
0,207384.256939951,-154632.670674873,-52751.5862650776
0,207384.256939951,-112686.608942357,-94697.647997594
0,207384.256939951,-58480.0310522988,-148904.225887652
0,207384.256939951,-4273.45316224081,-203110.80377771
0,107158.669779621,74466.7656148986,-181625.435394519
0,107158.669779621,153206.984392038,-260365.654171659
0,107158.669779621,250657.192357004,-357815.862136625
3712,107158.669779621,348107.40032197,-451554.070101591
0,603102.293478039,446692.160017696,-1049794.45349573
0,603102.293478039,545276.919713422,-1148379.21319146
0,603102.293478039,632866.469624773,-1235968.76310281
0,603102.293478039,720456.019536124,-1323558.31301416
0,807387.180410692,750139.804709747,-1557526.98512044
0,807387.180410692,779823.589883371,-1587210.77029406
0,807387.180410692,744529.3709179,-1551916.55132859
0,807387.180410692,709235.15195243,-1516622.33236312
0,434216.619031743,638450.965900663,-1072667.58493241
6282,-710238.030744957,567666.779848895,148853.250896062
0,-427962.818742667,486686.648411944,-58723.8296692771
0,-427962.818742667,405706.516974992,22256.3017676741
0,-427962.818742667,346512.679629392,81450.1391132747
0,-427962.818742667,287318.842283791,140643.976458875
0,-138725.970805601,268613.196878497,-129887.226072896
0,-138725.970805601,249907.551473203,-111181.580667602
0,-138725.970805601,243395.379358254,-104669.408552653
467261,-138725.970805601,236883.207243304,369103.763562297
1823,-217349.145626021,226809.661111581,-7637.51548556
0,-217349.145626021,216736.114979858,613.030646162922
0,-217349.145626021,199619.115849559,17730.0297764619
0,-217349.145626021,182502.11671926,34847.0289067609
0,-301501.267935053,156546.606228479,144954.661706575
0,-301501.267935053,130591.095737697,170910.172197356
0,-301501.267935053,84548.7242281365,216952.543706917
0,-301501.267935053,38506.3527185761,262994.915216477
0,-134586.87314402,-38989.6271269587,173576.500270979
0,-134586.87314402,-116485.606972493,251072.480116513
0,-134586.87314402,-201416.568397159,336003.441541179
0,-134586.87314402,-286347.529821825,420934.402965845
0,-319327.339569019,-364468.778026685,683796.117595704
0,-319327.339569019,-442590.026231544,761917.365800564
0,-319327.339569019,-487306.870613343,806634.210182362
0,-319327.339569019,-532023.714995141,851351.05456416
0,-260131.8305079,-527021.734172077,787153.564679977
0,-260131.8305079,-522019.753349013,782151.583856913
12144,-260131.8305079,-491216.104861459,763491.935369358
0,-260131.8305079,-460412.456373904,720544.286881804
0,60791.9916897528,-427907.517636172,367115.525946419
0,60791.9916897528,-395402.57889844,334610.587208687
0,60791.9916897528,-318798.474597617,258006.482907865
45862,60791.9916897528,-242194.370296795,227264.378607042
0,-219614.411797016,-167983.075658576,387597.487455592
0,-219614.411797016,-93771.7810203562,313386.192817372
175546,-219614.411797016,-66792.022051592,461952.433848608
1832,-219614.411797016,-39812.2630828277,261258.674879844
1795519,-249811.069522989,-29068.651472422,2074398.72099541
0,-249811.069522989,-18325.0398620164,268136.109385006
2462,-249811.069522989,-41206.8645592342,293479.934082224
0,-249811.069522989,-64088.689256452,313899.758779441
4143,-82725.733315504,-106785.235423616,193653.96873912
10032,-82725.733315504,-149481.78159078,242239.514906284
0,-82725.733315504,-159149.217802702,241874.951118206
0,-82725.733315504,-168816.654014623,251542.387330127
0,-223236.543015216,-164365.828144762,387602.371159978
0,-223236.543015216,-159915.0022749,383151.545290116
0,-223236.543015216,-168441.03578417,391677.578799386
0,-223236.543015216,-176967.06929344,400203.612308656
0,-100837.826560463,-198934.409157927,299772.23571839
0,-100837.826560463,-220901.749022414,321739.575582877
37210,-100837.826560463,-261504.619836121,399552.446396584
27323,-100837.826560463,-302107.490649829,430268.317210292
0,-106953.985616844,-386406.80261382,493360.788230664
0,-106953.985616844,-470706.114577812,577660.100194656
0,-106953.985616844,-598605.390574764,705559.376191608
0,-106953.985616844,-726504.666571715,833458.652188559
0,-290088.487924369,-836738.466914612,1126826.95483898
0,-290088.487924369,-946972.267257509,1237060.75518188
0,-290088.487924369,-1027831.07370424,1317919.56162861
1038200,-290088.487924369,-1108689.88015097,2436978.36807534
7263,-92076.6852178698,-1143805.25977807,1243144.94499594
1779,-92076.6852178698,-1178920.63940516,1272776.32462303
365310,-92076.6852178698,-1175637.58431019,1633024.26952806
0,-92076.6852178698,-1172354.52921522,1264431.21443309
0,-6943.62896433185,-1157542.81825569,1164486.44722002
43559,-6943.62896433184,-1142731.10729615,1193233.73626048
0,-6943.62896433184,-1111118.36813979,1118061.99710413
0,-6943.62896433184,-1079505.62898344,1086449.25794777
0,-206509.695551439,-1064869.5316675,1271379.22721894
0,-206509.695551439,-1050233.43435156,1256743.129903
0,-206509.695551439,-1025730.54778286,1232240.24333429
153299,-206509.695551439,-1001227.66121415,1361036.35676559
15573,111234.664424623,-959375.616515616,863713.952090994
0,111234.664424623,-917523.571817079,806288.907392456
23013,111234.664424623,-894506.858013322,806285.193588699
0,111234.664424623,-871490.144209566,760255.479784943
0,295118.050456453,-852374.712402055,557256.661945603
123333,295118.050456453,-833259.280594545,661474.230138092
2060,295118.050456453,-779539.869715303,486481.81925885
52074,295118.050456453,-725820.45883606,482776.408379608
1834,417087.002559019,-672286.254134585,257033.251575565
0,417087.002559019,-618752.049433109,201665.046874089
57161,417087.002559019,-566489.37645605,206563.37389703
0,417087.002559019,-514226.703478991,97139.7009199714
1908,719331.897215672,-475100.811249496,-242323.085966175
0,719331.897215672,-435974.919020002,-283356.978195669
0,719331.897215672,-405901.108437991,-313430.788777681
0,719331.897215672,-375827.297855979,-343504.599359693
0,472696.032762539,-372035.100948001,-100660.931814538
29300,472696.032762539,-368242.904040023,-75153.1287225161
29450,472696.032762539,-370517.364030042,-72728.6687324962
296475,472696.032762539,-372791.824020062,196570.791257524
308949,504964.63285018,-374099.518903723,178083.886053543
17138,504964.63285018,-375407.213787384,-112419.419062796
0,504964.63285018,-359564.815881279,-145399.816968902
842804,504964.63285018,-343722.417975173,681561.785124993
246577,543076.65576974,-297525.474138559,1025.81836881873
4857,543076.65576974,-251328.530301945,-286891.125467795
2287,543076.65576974,-158650.241069681,-382139.414700059
1875,543076.65576974,-65971.9518374178,-475229.703932323
7553241,730247.663937308,48828.7282593054,6774164.60780339
1687224,730247.663937308,163629.408356029,793346.927706663
63494,730247.663937308,298447.882356055,-965201.546293363
21726,730247.663937308,433266.356356081,-1141788.02029339
3763,643903.409246983,461468.645903523,-1101609.05515051
281876,643903.409246983,489670.935450966,-851698.344697948
0,643903.409246983,499922.341043096,-1143825.75029008
1793,643903.409246983,510173.746635227,-1152284.15588221
