"BitcoinDaysDestroyedMinYear","seasonal","trend","remainder"
0,175070.151506603,-340004.809145388,164934.657638785
0,175070.151506603,-350879.878410654,175809.726904051
0,158977.18817133,-386457.670204855,227480.482033525
0,158977.18817133,-422035.461999055,263058.273827725
0,158977.18817133,-471132.022482762,312154.834311433
0,158977.18817133,-520228.58296647,361251.39479514
0,299049.690074387,-586032.443157771,286982.753083383
0,299049.690074387,-651836.303349071,352786.613274684
0,299049.690074387,-723182.242275464,424132.552201076
0,299049.690074387,-794528.181201856,495478.491127469
0,396359.884933117,-851444.902282092,455085.017348976
0,396359.884933117,-908361.623362329,512001.738429212
0,396359.884933117,-969701.700058163,573341.815125046
0,396359.884933117,-1031041.776754,634681.89182088
0,325887.638506217,-1071187.99013413,745300.351627917
0,325887.638506217,-1111334.20351427,785446.565008054
0,325887.638506217,-1131178.6718486,805291.033342381
0,325887.638506217,-1151023.14018293,825135.501676709
0,250527.155062479,-1144253.07039507,893725.915332592
0,250527.155062479,-1137483.00060722,886955.845544737
0,250527.155062479,-1099994.0875385,849466.932476018
0,250527.155062479,-1062505.17446978,811978.019407299
0,197570.74604639,-1003234.54141496,805663.79536857
0,197570.74604639,-943963.908360141,746393.162313751
0,197570.74604639,-878365.684187653,680794.938141263
0,197570.74604639,-812767.460015165,615196.713968775
0,174129.250894957,-751310.844770029,577181.593875072
0,174129.250894957,-689854.229524894,515724.978629936
0,174129.250894957,-625604.209573963,451474.958679005
0,174129.250894957,-561354.189623032,387224.938728075
0,192110.890083177,-500030.339674025,307919.449590849
0,192110.890083177,-438706.489725019,246595.599641842
0,192110.890083177,-385155.714460382,193044.824377206
0,192110.890083177,-331604.939195746,139494.049112569
0,289980.898787475,-290378.589079041,397.690291566134
0,289980.898787475,-249152.238962337,-40828.6598251385
0,289980.898787475,-228139.803364463,-61841.0954230124
0,289980.898787475,-207127.367766589,-82853.5310208864
0,320046.59461153,-202148.304696962,-117898.289914569
0,320046.59461153,-197169.241627335,-122877.352984196
0,320046.59461153,-200788.834417451,-119257.760194079
0,320046.59461153,-204408.427207568,-115638.167403962
0,271898.063584134,-217512.810388656,-54385.2531954773
0,271898.063584134,-230617.193569744,-41280.8700143891
0,271898.063584134,-246582.229462027,-25315.8341221062
0,271898.063584134,-262547.26535431,-9350.79822982324
0,252357.727011089,-285608.854927168,33251.1279160792
0,252357.727011089,-308670.444500025,56312.7174889367
0,252357.727011089,-334997.610926036,82639.8839149475
0,252357.727011089,-361324.777352047,108967.050340958
0,289201.809831507,-381483.211813255,92281.4019817476
0,289201.809831507,-401641.646274462,112439.836442955
0,289201.809831507,-392804.046639015,103602.236807509
0,289201.809831507,-383966.447003569,94764.637172062
0,337414.531678616,-349482.182774475,12067.6510958588
0,337414.531678616,-314997.918545382,-22416.6131332349
0,337414.531678616,-259909.947776755,-77504.5839018611
0,337414.531678616,-204821.977008129,-132592.554670487
0,279562.601396219,-148042.76369567,-131519.837700549
0,279562.601396219,-91263.5503832116,-188299.051013008
0,279562.601396219,-43400.3790675865,-236162.222328633
0,279562.601396219,4462.79224803859,-284025.393644258
0,205353.075235873,41390.975183773,-246744.050419646
0,205353.075235873,78319.1581195075,-283672.23335538
0,205353.075235873,103964.725887634,-309317.801123507
0,205353.075235873,129610.293655761,-334963.368891634
0,268174.686437676,154468.766767302,-422643.453204977
0,268174.686437676,179327.239878842,-447501.926316518
0,268174.686437676,209673.398002393,-477848.084440068
0,268174.686437676,240019.556125943,-508194.242563619
0,231831.587501146,275476.369189793,-507307.956690939
0,231831.587501146,310933.182253644,-542764.76975479
0,231831.587501146,343980.920517146,-575812.508018291
0,231831.587501146,377028.658780648,-608860.246281793
0,171325.549091265,410152.390055233,-581477.939146499
0,171325.549091266,443276.121329819,-614601.670421085
0,171325.549091266,471914.734501831,-643240.283593096
0,171325.549091266,500553.347673843,-671878.896765108
0,212336.279960256,525116.772408365,-737453.052368621
0,212336.279960256,549680.197142887,-762016.477103143
0,212336.279960256,574904.714680664,-787240.99464092
0,212336.279960256,600129.232218441,-812465.512178697
0,235849.702249078,621518.978001206,-857368.680250285
0,235849.702249078,642908.723783972,-878758.42603305
0,235849.702249078,664075.803036516,-899925.505285595
0,235849.702249078,685242.882289061,-921092.58453814
0,398248.479548572,696802.411108395,-1095050.89065697
0,398248.479548572,708361.939927728,-1106610.4194763
0,398248.479548572,714728.54324668,-1112977.02279525
0,398248.479548572,721095.146565632,-1119343.6261142
0,416387.715242125,725100.862194943,-1141488.57743707
