"NumUniqueAdresses","seasonal","trend","remainder"
119,13781.2194293003,-15955.7960632824,2293.5766339821
127,14229.7620082631,-15670.1762999283,1567.4142916652
112,14229.7620082631,-15384.5565365743,1266.79452831112
123,14229.7620082631,-14879.3675108706,772.605502607468
115,14229.7620082631,-14374.178485167,259.416476903814
125,14076.8997962422,-13665.8586818615,-286.041114380701
121,14076.8997962422,-12957.5388785561,-998.360917686143
118,14076.8997962422,-12111.5928241719,-1847.30697207028
126,14076.8997962422,-11265.6467697878,-2685.25302645441
121,14435.4424415137,-10303.1599721234,-4011.2824693903
80,14435.4424415137,-9340.67317445895,-5014.76926705473
113,14435.4424415137,-8236.78379487465,-6085.65864663903
122,14435.4424415137,-7132.89441529035,-7180.54802622332
110,15381.6346217721,-5223.3935981155,-10048.2410236566
105,15381.6346217721,-3313.89278094065,-11962.7418408315
117,15381.6346217721,-1460.92588911061,-13803.7087326615
123,15381.6346217721,392.041002719438,-15650.6756244916
133,15933.022106606,2279.25972949333,-18079.2818360993
123,15933.022106606,4166.47845626722,-19976.5005628732
125,15933.022106606,6186.94846920468,-21994.9705758107
116,15933.022106606,8207.41848214213,-24024.4405887481
126,15759.3532835688,9364.36113168966,-24997.7144152584
133,15759.3532835688,10521.3037812372,-26147.6570648059
138,15759.3532835688,11594.2765997275,-27215.6298832962
121,15759.3532835688,12667.2494182178,-28305.6027017865
122,15729.5620782365,13647.9532351819,-29255.5153134184
91,15729.5620782365,14628.657052146,-30267.2191303826
62,15729.5620782365,15508.9906769742,-31176.5527552108
121,15729.5620782365,16389.3243018024,-31997.886380039
127,15876.1310602047,17149.8868109257,-32899.0178711304
118,15876.1310602047,17910.4493200489,-33668.5803802536
138,15876.1310602047,18515.3859615267,-34253.5170217314
146,15876.1310602047,19120.3226030045,-34850.4536632092
115,15803.3960875685,19499.3438469065,-35187.739934475
125,15803.3960875685,19878.3650908085,-35556.761178377
124,15803.3960875685,20066.8897826076,-35746.2858701761
100,15803.3960875685,20255.4144744067,-35958.8105619752
104,15988.7243153954,20297.9138248552,-36182.6381402506
89,15988.7243153954,20340.4131753037,-36240.1374906991
83,15988.7243153954,20323.1976153198,-36228.9219307152
7,15988.7243153954,20305.982055336,-36287.7063707314
96,16238.6240734051,20243.165660635,-36385.7897340402
112,16238.6240734051,20180.3492659341,-36306.9733393393
113,16238.6240734051,19992.39111354,-36118.0151869452
125,16238.6240734051,19804.4329611459,-35918.057034551
103,16196.9502535936,19593.5428086214,-35687.4930622149
108,16196.9502535936,19382.6526560969,-35471.6029096904
103,16196.9502535936,19146.205784125,-35240.1560377186
118,16196.9502535936,18909.7589121531,-34988.7091657467
75,16648.4326498266,18494.5324494728,-35067.9650992994
89,16648.4326498266,18079.3059867924,-34638.738636619
98,16648.4326498266,17693.8002245086,-34244.2328743352
39,16648.4326498266,17308.2944622248,-33917.7271120514
57,17035.4125426776,16888.4914677308,-33866.9040104084
24,17035.4125426776,16468.6884732369,-33480.1010159145
4,17035.4125426776,16024.4426426186,-33055.8551852962
72,17035.4125426776,15580.1968120004,-32543.609354678
94,17090.8479099639,15207.5971160726,-32204.4450260365
83,17090.8479099639,14834.9974201449,-31842.8453301087
93,17090.8479099639,14605.4671669213,-31603.3150768851
91,17090.8479099639,14375.9369136977,-31375.7848236616
74,17685.0073508033,14303.9469438812,-31914.9542946845
70,17685.0073508033,14231.9569740646,-31846.9643248679
82,17685.0073508033,14223.6834248304,-31826.6907756337
73,17685.0073508033,14215.4098755961,-31827.4172263995
77,18028.5974889258,14367.912472333,-32319.5099612588
81,18028.5974889258,14520.4150690699,-32468.0125579957
87,18028.5974889258,14815.6657460008,-32757.2632349266
84,18028.5974889258,15110.9164229317,-33055.5139118575
75,18113.7274565678,15370.2595866473,-33408.9870432151
81,18113.7274565678,15629.6027503628,-33662.3302069307
76,18113.7274565678,15762.6383199796,-33800.3657765475
88,18113.7274565678,15895.6738895965,-33921.4013461643
74,18056.8085288907,15890.8542572819,-33873.6627861727
90,18056.8085288907,15886.0346249674,-33852.8431538581
85,18056.8085288907,15753.1962377124,-33725.0047666031
53,18056.8085288907,15620.3578504574,-33624.1663793481
76,17987.3753208367,15450.1692109924,-33361.544531829
89,17987.3753208367,15279.9805715273,-33178.355892364
84,17987.3753208367,15303.3608006312,-33206.7361214679
72,17987.3753208367,15326.741029735,-33242.1163505717
85,17982.924652151,15465.075700993,-33363.0003531439
89,17982.924652151,15603.4103722509,-33497.3350244019
80,17982.924652151,15653.3837411563,-33556.3083933073
91,17982.924652151,15703.3571100617,-33595.2817622127
63,17918.7424053784,15616.0663295552,-33471.8087349336
