"NumTransactionsExcludingPopular","seasonal","trend","remainder"
111,4546.42809757894,-7173.3347778694,2737.90668029046
115,4546.42809757894,-6980.18204927051,2548.75395169157
113,4582.17520659466,-6814.86918465032,2345.69397805566
105,4582.17520659466,-6649.55632003013,2172.38111343547
108,4582.17520659466,-6514.65629601319,2040.48108941853
119,4582.17520659466,-6379.75627199624,1916.58106540158
115,4501.88711961385,-6278.01060640099,1891.12348678714
116,4501.88711961385,-6176.26494080574,1790.37782119189
111,4501.88711961385,-6110.23917409355,1719.3520544797
131,4501.88711961385,-6044.21340738136,1673.32628776751
115,4666.51877941272,-6004.30150031041,1452.78272089769
110,4666.51877941272,-5964.38959323946,1407.87081382674
124,4666.51877941272,-5937.91326920191,1395.3944897892
119,4666.51877941272,-5911.43694516437,1363.91816575165
77,5141.83428645982,-5931.34311138241,866.508824922586
97,5141.83428645982,-5951.24927760045,906.414991140628
132,5141.83428645982,-6065.76947510036,1055.93518864053
105,5141.83428645982,-6180.28967260026,1143.45538614044
116,5527.80998773126,-6364.72668889764,952.916701166381
114,5527.80998773126,-6549.16370519502,1135.35371746376
110,5527.80998773126,-6746.58140249446,1328.7714147632
122,5527.80998773126,-6943.9990997939,1538.18911206264
112,5675.23279078971,-7147.48147438008,1584.24868359037
125,5675.23279078971,-7350.96384896627,1800.73105817656
114,5675.23279078971,-7564.53385312694,2003.30106233723
107,5675.23279078971,-7778.10385728761,2209.8710664979
120,5704.43886373487,-7966.00420165318,2381.56533791831
113,5704.43886373487,-8153.90454601875,2562.46568228388
113,5704.43886373487,-8331.45110946699,2740.01224573212
129,5704.43886373487,-8508.99767291523,2933.55880918036
117,5487.99108918954,-8688.78407890643,3317.79298971689
99,5487.99108918954,-8868.57048489762,3479.57939570808
104,5487.99108918954,-9005.34009887469,3621.34900968515
99,5487.99108918954,-9142.10971285176,3753.11862366222
103,5421.97988161175,-9213.61281432887,3894.63293271712
123,5421.97988161175,-9285.11591580599,3986.13603419424
115,5421.97988161175,-9317.6368700071,4010.65698839535
118,5421.97988161175,-9350.15782420821,4046.17794259646
127,6000.04106220271,-9349.7732413643,3476.73217916159
112,6000.04106220271,-9349.38865852039,3461.34759631768
123,6000.04106220271,-9224.0153487403,3346.97428653759
115,6000.04106220271,-9098.64203896021,3213.6009767575
125,6095.93696522126,-8814.14332846215,2843.20636324089
121,6095.93696522126,-8529.64461796409,2554.70765274283
118,6095.93696522126,-8131.74316648871,2153.80620126745
125,6095.93696522126,-7733.84171501333,1762.90474979207
121,5835.77788821583,-7160.85756386728,1446.07967565145
80,5835.77788821583,-6587.87341272123,832.095524505399
113,5835.77788821583,-6040.10251194302,317.324623727189
122,5835.77788821583,-5492.33161116481,-221.446277051021
111,6232.70308691362,-4641.53248787116,-1480.17059904246
105,6232.70308691362,-3790.73336457751,-2336.96972233611
117,6232.70308691362,-2222.02533478451,-3893.67775212911
123,6232.70308691362,-653.317304991506,-5456.38578192211
133,6373.63631282775,594.069590257272,-6834.70590308502
123,6373.63631282775,1841.45648550605,-8092.09279833379
124,6373.63631282775,3242.8289162654,-9492.46522909314
115,6373.63631282775,4644.20134702475,-10902.8376598525
125,6160.97391329213,5324.31255264523,-11360.2864659374
133,6160.97391329213,6004.42375826572,-12032.3976715578
138,6160.97391329213,6712.22397013379,-12735.1978834259
