,HashRate
2009-08-25 18:15:05,0.00273406482963
2009-08-26 18:15:05,0.00208783132444
2009-08-27 18:15:05,0.00149130808889
2009-08-28 18:15:05,0.0031814572563
2009-08-29 18:15:05,0.00412595237926
2009-08-30 18:15:05,0.00447392426667
2009-08-31 18:15:05,0.00467276534519
2009-09-01 18:15:05,0.00392711130074
2009-09-02 18:15:05,0.00338029833481
2009-09-03 18:15:05,0.00298261617778
2009-09-04 18:15:05,0.00313174698667
2009-09-05 18:15:05,0.0035294291437
2009-09-06 18:15:05,0.00357913941333
2009-09-07 18:15:05,0.00387740103111
2009-09-08 18:15:05,0.00328087779556
2009-09-09 18:15:05,0.00288319563852
2009-09-10 18:15:05,0.00303232644741
2009-09-11 18:15:05,0.00338029833481
2009-09-12 18:15:05,0.0035294291437
2009-09-13 18:15:05,0.00347971887407
2009-09-14 18:15:05,0.00402653184
2009-09-15 18:15:05,0.00278377509926
2009-09-16 18:15:05,0.00288319563852
2009-09-17 18:15:05,0.00412595237926
2009-09-18 18:15:05,0.00402653184
2009-09-19 18:15:05,0.0035294291437
2009-09-20 18:15:05,0.00392711130074
2009-09-21 18:15:05,0.00367855995259
2009-09-22 18:15:05,0.00169014916741
2009-09-23 18:15:05,0.00134217728
2009-09-24 18:15:05,0.00407624210963
2009-09-25 18:15:05,0.00497102696296
2009-09-26 18:15:05,0.00467276534519
2009-09-27 18:15:05,0.00442421399704
2009-09-28 18:15:05,0.00437450372741
2009-09-29 18:15:05,0.00412595237926
2009-09-30 18:15:05,0.00432479345778
2009-10-01 18:15:05,0.00422537291852
2009-10-02 18:15:05,0.00372827022222
2009-10-03 18:15:05,0.00288319563852
2009-10-04 18:15:05,0.00303232644741
2009-10-05 18:15:05,0.00288319563852
2009-10-06 18:15:05,0.00203812105481
2009-10-07 18:15:05,0.00253522375111
2009-10-08 18:15:05,0.00347971887407
2009-10-09 18:15:05,0.00387740103111
2009-10-10 18:15:05,0.00382769076148
2009-10-11 18:15:05,0.00392711130074
2009-10-12 18:15:05,0.00308203671704
2009-10-13 18:15:05,0.00253522375111
2009-10-14 18:15:05,0.00278377509926
2009-10-15 18:15:05,0.00422537291852
2009-10-16 18:15:05,0.00323116752593
2009-10-17 18:15:05,0.00273406482963
2009-10-18 18:15:05,0.0031814572563
2009-10-19 18:15:05,0.00492131669333
2009-10-20 18:15:05,0.00551783992889
2009-10-21 18:15:05,0.00412595237926
2009-10-22 18:15:05,0.00427508318815
2009-10-23 18:15:05,0.00432479345778
2009-10-24 18:15:05,0.00372827022222
2009-10-25 18:15:05,0.00362884968296
2009-10-26 18:15:05,0.00323116752593
2009-10-27 18:15:05,0.00328087779556
2009-10-28 18:15:05,0.0031814572563
2009-10-29 18:15:05,0.00248551348148
