,TotalBitcoins
2009-08-27 18:15:05,1079650.0
2009-08-28 18:15:05,1082850.0
2009-08-29 18:15:05,1087000.0
2009-08-30 18:15:05,1091500.0
2009-08-31 18:15:05,1096200.0
2009-09-01 18:15:05,1100150.0
2009-09-02 18:15:05,1103550.0
2009-09-03 18:15:05,1106550.0
2009-09-04 18:15:05,1109700.0
2009-09-05 18:15:05,1113250.0
2009-09-06 18:15:05,1116850.0
2009-09-07 18:15:05,1120750.0
2009-09-08 18:15:05,1124050.0
2009-09-09 18:15:05,1126950.0
2009-09-10 18:15:05,1130000.0
2009-09-11 18:15:05,1133400.0
2009-09-12 18:15:05,1136950.0
2009-09-13 18:15:05,1140450.0
2009-09-14 18:15:05,1144500.0
2009-09-15 18:15:05,1147300.0
2009-09-16 18:15:05,1150200.0
2009-09-17 18:15:05,1154350.0
2009-09-18 18:15:05,1158400.0
2009-09-19 18:15:05,1161950.0
2009-09-20 18:15:05,1165900.0
2009-09-21 18:15:05,1169600.0
2009-09-22 18:15:05,1171300.0
2009-09-23 18:15:05,1172650.0
2009-09-24 18:15:05,1176750.0
2009-09-25 18:15:05,1181750.0
2009-09-26 18:15:05,1186450.0
2009-09-27 18:15:05,1190900.0
2009-09-28 18:15:05,1195300.0
2009-09-29 18:15:05,1199450.0
2009-09-30 18:15:05,1203800.0
2009-10-01 18:15:05,1208050.0
2009-10-02 18:15:05,1211800.0
2009-10-03 18:15:05,1214700.0
2009-10-04 18:15:05,1217750.0
2009-10-05 18:15:05,1220650.0
2009-10-06 18:15:05,1222700.0
2009-10-07 18:15:05,1225250.0
2009-10-08 18:15:05,1228750.0
2009-10-09 18:15:05,1232650.0
2009-10-10 18:15:05,1236500.0
2009-10-11 18:15:05,1240450.0
2009-10-12 18:15:05,1243550.0
2009-10-13 18:15:05,1246100.0
2009-10-14 18:15:05,1248900.0
2009-10-15 18:15:05,1253150.0
2009-10-16 18:15:05,1256400.0
2009-10-17 18:15:05,1259150.0
2009-10-18 18:15:05,1262350.0
2009-10-19 18:15:05,1267300.0
2009-10-20 18:15:05,1272850.0
2009-10-21 18:15:05,1277000.0
2009-10-22 18:15:05,1281300.0
2009-10-23 18:15:05,1285650.0
2009-10-24 18:15:05,1289400.0
2009-10-25 18:15:05,1293050.0
2009-10-26 18:15:05,1296300.0
2009-10-27 18:15:05,1299600.0
2009-10-28 18:15:05,1302800.0
2009-10-29 18:15:05,1305300.0
2009-10-30 18:15:05,1308350.0
2009-10-31 18:15:05,1310600.0
2009-11-01 18:15:05,1312100.0
2009-11-02 18:15:05,1313750.0
2009-11-03 18:15:05,1316600.0
2009-11-04 18:15:05,1319700.0
2009-11-05 18:15:05,1322900.0
2009-11-06 18:15:05,1325350.0
2009-11-07 18:15:05,1329150.0
2009-11-08 18:15:05,1332650.0
2009-11-09 18:15:05,1335900.0
2009-11-10 18:15:05,1339450.0
2009-11-11 18:15:05,1342900.0
2009-11-12 18:15:05,1346400.0
2009-11-13 18:15:05,1349900.0
2009-11-14 18:15:05,1354050.0
2009-11-15 18:15:05,1358850.0
2009-11-16 18:15:05,1363850.0
2009-11-17 18:15:05,1368400.0
2009-11-18 18:15:05,1372350.0
2009-11-19 18:15:05,1376000.0
2009-11-20 18:15:05,1380100.0
2009-11-21 18:15:05,1383950.0
2009-11-22 18:15:05,1388950.0
2009-11-23 18:15:05,1393750.0
2009-11-24 18:15:05,1398850.0
2009-11-25 18:15:05,1403100.0
2009-11-26 18:15:05,1407000.0
2009-11-27 18:15:05,1410750.0
2009-11-28 18:15:05,1414650.0
2009-11-29 18:15:05,1417550.0
2009-11-30 18:15:05,1421250.0
2009-12-01 18:15:05,1424550.0
2009-12-02 18:15:05,1429450.0
2009-12-03 18:15:05,1433700.0
2009-12-04 18:15:05,1436150.0
2009-12-05 18:15:05,1438750.0
2009-12-06 18:15:05,1444000.0
2009-12-07 18:15:05,1448700.0
2009-12-08 18:15:05,1454650.0
2009-12-09 18:15:05,1459350.0
2009-12-10 18:15:05,1464500.0
2009-12-11 18:15:05,1470750.0
2009-12-12 18:15:05,1475800.0
2009-12-13 18:15:05,1481000.0
2009-12-14 18:15:05,1486400.0
2009-12-15 18:15:05,1492200.0
2009-12-16 18:15:05,1498150.0
2009-12-17 18:15:05,1506200.0
2009-12-18 18:15:05,1516200.0
2009-12-19 18:15:05,1527400.0
2009-12-20 18:15:05,1536150.0
2009-12-21 18:15:05,1545500.0
2009-12-22 18:15:05,1553100.0
2009-12-23 18:15:05,1561550.0
2009-12-24 18:15:05,1568750.0
2009-12-25 18:15:05,1576600.0
2009-12-26 18:15:05,1584550.0
2009-12-27 18:15:05,1593000.0
2009-12-28 18:15:05,1599900.0
2009-12-29 18:15:05,1608100.0
2009-12-30 18:15:05,1615900.0
