"NumTransactions","seasonal","trend","remainder"
81,10573.9976608708,5742.07202398031,-16235.0696848511
65,10573.9976608708,5502.79985392986,-16011.7975148006
34,10573.9976608708,5263.5276838794,-15803.5253447502
25,10676.2118508688,5067.33730632909,-15718.5491571979
17,10676.2118508688,4871.14692877878,-15530.3587796475
9,10676.2118508688,4805.6501446597,-15472.8619955285
15,10676.2118508688,4740.15336054061,-15401.3652114094
24,10972.5842448974,4850.30695607424,-15798.8912009717
16,10972.5842448974,4960.46055160787,-15917.0447965053
8,10972.5842448974,5123.23707816512,-16087.8213230626
12,10972.5842448974,5286.01360472236,-16246.5978496198
8,10445.1869760556,5395.7913525172,-15832.9783285728
55,10445.1869760556,5505.56910031204,-15895.7560763676
42,10445.1869760556,5558.22133647529,-15961.4083125309
33,10445.1869760556,5610.87357263854,-16023.0605486941
64,9887.2827957493,5651.86519804275,-15475.1479937921
83,9887.2827957493,5692.85682344696,-15497.1396191963
91,9887.2827957493,5699.34181130731,-15495.6246070566
95,9887.2827957493,5705.82679916766,-15498.109594917
79,9725.92205000625,5684.68756336012,-15331.6096133664
68,9725.92205000625,5663.54832755258,-15321.4703775588
61,9725.92205000625,5585.47262691742,-15250.3946769237
63,9725.92205000625,5507.39692628226,-15170.3189762885
71,9573.94164720386,5311.35651647003,-14814.2981636739
72,9573.94164720386,5115.31610665779,-14617.2577538617
79,9573.94164720386,4924.96073085885,-14419.9023780627
66,9573.94164720386,4734.60535505991,-14242.5470022638
58,8863.6754221678,4666.34676969035,-13472.0221918581
61,8863.6754221678,4598.08818432078,-13400.7636064886
68,8863.6754221678,4615.21077940859,-13410.8862015764
71,8863.6754221678,4632.33337449639,-13425.0087966642
70,8571.30733662546,4682.34092730031,-13183.6482639258
81,8571.30733662546,4732.34848010423,-13222.6558167297
56,8571.30733662546,4623.92701801564,-13139.2343546411
59,8571.30733662546,4515.50555592704,-13027.8128925525
84,8473.20581845618,4331.47804885299,-12720.6838673092
81,8473.20581845618,4147.45054177893,-12539.6563602351
71,8473.20581845618,3986.54350222456,-12388.7493206807
79,8473.20581845618,3825.6364626702,-12219.8422811264
74,7736.95115367652,3759.12147160845,-11422.072625285
35,7736.95115367652,3692.6064805467,-11394.5576342232
28,7736.95115367652,3775.2908902328,-11484.2420439093
82,7736.95115367652,3857.9752999189,-11512.9264535954
102,7362.99395243025,4013.63835991961,-11274.6323123499
94,7362.99395243025,4169.30141992031,-11438.2953723506
90,7362.99395243025,4250.79297379055,-11523.7869262208
88,7362.99395243025,4332.28452766079,-11607.278480091
85,7391.95640488389,4380.66809990631,-11687.6245047902
87,7391.95640488389,4429.05167215184,-11734.0080770357
85,7391.95640488389,4429.36445018753,-11736.3208550714
76,7391.95640488389,4429.67722822323,-11745.6336331071
58,7099.53605497613,4361.30375328882,-11402.839808265
61,7099.53605497613,4292.9302783544,-11331.4663333305
58,7099.53605497613,4201.22506259463,-11242.7611175708
43,7099.53605497613,4109.51984683486,-11166.055901811
51,7013.9766432238,4034.74291484919,-10997.719558073
70,7013.9766432238,3959.96598286353,-10903.9426260873
78,7013.9766432238,3928.1653029381,-10864.1419461619
77,7013.9766432238,3896.36462301267,-10833.3412662365
79,7021.45413011255,3902.6959010162,-10845.1500311287
63,7021.45413011255,3909.02717901972,-10867.4813091323
51,7021.45413011255,3896.17137101272,-10866.6255011253
56,7021.45413011255,3883.31556300571,-10848.7696931183
85,6630.19818501523,3846.05887777634,-10391.2570627916
66,6630.19818501523,3808.80219254696,-10373.0003775622
55,6630.19818501523,3692.11287070028,-10267.3110557155
65,6630.19818501523,3575.4235488536,-10140.6217338688
99,6619.67871095905,3362.35845697484,-9883.03716793389
111,6619.67871095905,3149.29336509608,-9657.97207605513
84,6619.67871095905,2929.82660430552,-9465.50531526457
88,6619.67871095905,2710.35984351496,-9242.03855447401
