"BitcoinDaysDestroyedMinWeek","seasonal","trend","remainder"
0,1212019.79375121,804339.441454903,-2016359.23520612
0,1212019.79375121,806011.952657658,-2018031.74640887
0,1212019.79375121,833500.971518289,-2045520.7652695
0,1212019.79375121,860989.99037892,-2073009.78413013
0,7316282.9834931,936446.478299274,-8252729.46179238
0,7316282.9834931,1011902.96621963,-8328185.94971273
0,7316282.9834931,1049530.79311439,-8365813.7766075
0,7316282.9834931,1087158.62000916,-8403441.60350226
0,7359146.99332375,1096800.5702501,-8455947.56357385
0,7359146.99332375,1106442.52049104,-8465589.5138148
0,7359146.99332375,1076885.08909936,-8436032.08242311
20,7359146.99332375,1047327.65770767,-8406454.65103142
56298,1016859.30556368,978226.607183559,-1938787.91274724
0,1016859.30556368,909125.556659449,-1925984.86222313
0,1016859.30556368,863099.235842324,-1879958.541406
0,1016859.30556368,817072.915025198,-1833932.22058888
0,1126653.19530392,817412.711899042,-1944065.90720297
3793,1126653.19530392,817752.508772887,-1940612.70407681
13563,1126653.19530392,849263.303071103,-1962353.49837503
0,1126653.19530392,880774.097369319,-2007427.29267324
0,1315012.62078737,931134.377060949,-2246146.99784832
0,1315012.62078737,981494.65675258,-2296507.27753995
0,1315012.62078737,989135.433975766,-2304148.05476313
0,1315012.62078737,996776.211198951,-2311788.83198632
427,1178694.40949294,971389.467502435,-2149656.87699538
0,1178694.40949294,946002.723805918,-2124697.13329886
0,1178694.40949294,924121.792919573,-2102816.20241252
0,1178694.40949294,902240.862033227,-2080935.27152617
0,1610261.8486436,843886.686326171,-2454148.53496978
0,1610261.8486436,785532.510619115,-2395794.35926272
0,1610261.8486436,723604.175776605,-2333866.02442021
0,1610261.8486436,661675.840934095,-2271937.6895777
0,1732654.48107151,620854.470020217,-2353508.95109172
0,1732654.48107151,580033.099106339,-2312687.58017785
0,1732654.48107151,547194.457968943,-2279848.93904045
0,1732654.48107151,514355.816831547,-2247010.29790305
0,717271.064217089,485485.368272342,-1202756.43248943
326671,717271.064217089,456614.919713136,-847214.983930226
0,717271.064217089,451168.146815245,-1168439.21103233
0,717271.064217089,445721.373917353,-1162992.43813444
0,636632.360029549,439283.566133714,-1075915.92616326
27144,636632.360029549,432845.758350075,-1042334.11837962
0,636632.360029549,420165.767968832,-1056798.12799838
0,636632.360029549,407485.777587589,-1044118.13761714
0,896885.295389887,393997.933664442,-1290883.22905433
0,896885.295389887,380510.089741295,-1277395.38513118
59552,896885.295389887,360600.631051113,-1197933.926441
9307,896885.295389887,340691.172360931,-1228269.46775082
0,1163381.39204609,288611.693295956,-1451993.08534204
0,1163381.39204609,236532.21423098,-1399913.60627707
0,1163381.39204609,133654.285670668,-1297035.67771676
0,1163381.39204609,30776.3571103558,-1194157.74915644
0,1456244.4254901,-95315.3012979594,-1360929.12419214
0,1456244.4254901,-221406.959706275,-1234837.46578383
0,1456244.4254901,-351317.488963504,-1104926.9365266
4409,1456244.4254901,-481228.018220733,-970607.407269369
0,879883.498821633,-598794.078397897,-281089.420423736
0,879883.498821633,-716360.138575061,-163523.360246572
0,879883.498821633,-796023.579052186,-83859.9197694471
0,879883.498821633,-875687.019529311,-4196.47929232195
0,881647.209051349,-969071.232405852,87424.0233545034
114663,881647.209051349,-1062455.44528239,295471.236231045
0,881647.209051349,-1185205.78353184,303558.57448049
0,881647.209051349,-1307956.12178128,426308.912729935
0,949074.838594175,-1404638.84474284,455564.006148662
0,949074.838594175,-1501321.56770439,552246.729110213
0,949074.838594175,-1648911.86234794,699837.023753769
4323,949074.838594175,-1796502.1569915,851750.318397324
0,876468.414557883,-1838627.69424143,962159.279683548
0,876468.414557883,-1880753.23149136,1004284.81693348
0,876468.414557883,-1874204.36752093,997735.952963051
0,876468.414557883,-1867655.5035505,991187.08899262
0,718827.76619069,-1849300.97358846,1130473.20739777
0,718827.76619069,-1830946.44362642,1112118.67743573
0,718827.76619069,-1704783.61302368,985955.846832992
0,718827.76619069,-1578620.78242094,859793.016230251
159921,685948.792976153,-1489281.32485217,963253.531876021
0,685948.792976153,-1399941.86728341,713993.074307254
0,685948.792976153,-1356767.05838817,670818.265412019
0,685948.792976153,-1313592.24949294,627643.456516785
0,1028849.05357532,-1267031.27890817,238182.225332842
0,1028849.05357532,-1220470.30832339,191621.25474807
