"BitcoinDaysDestroyedCumulative","seasonal","trend","remainder"
287530,63906458.3201282,502379175.825699,-565998104.145827
287530,63906458.3201282,500265758.752057,-563884687.072185
287530,63906458.3201282,497780681.96882,-561399610.288948
287720,63906458.3201282,495295605.185583,-558914343.505712
287720,68227336.8255747,492429283.614658,-560368900.440233
288172,68227336.8255747,489562962.043733,-557502126.869307
288566,68227336.8255747,486733776.624911,-554672547.450486
288628,68227336.8255747,483904591.206089,-551843300.031664
292655,72863811.0370947,481225559.429731,-553796715.466826
292655,72863811.0370947,478546527.653374,-551117683.690469
292655,72863811.0370947,476011659.557858,-548582815.594953
292655,72863811.0370947,473476791.462343,-546047947.499438
292655,77117412.0714316,470932014.442227,-547756771.513659
292655,77117412.0714316,468387237.422111,-545211994.493543
292655,77117412.0714316,465721013.142645,-542545770.214077
292655,77117412.0714316,463054788.863179,-539879545.934611
292655,81130562.8977443,460265904.996508,-541103812.894252
292655,81130562.8977443,457477021.129836,-538314929.02758
292655,81130562.8977443,454245347.049564,-535083254.947308
292655,81130562.8977443,451013672.969291,-531851580.867035
292655,85608634.5539718,447014701.985565,-532330681.539537
319209,85608634.5539718,443015731.00184,-528305156.555812
319209,85608634.5539718,438893772.193966,-524183197.747938
319209,85608634.5539718,434771813.386093,-520061238.940064
321310,90504559.099629,430288826.415139,-520472075.514768
321310,90504559.099629,425805839.444185,-515989088.543814
321310,90504559.099629,421689325.269631,-511872574.36926
321310,90504559.099629,417572811.095077,-507756060.194706
321310,95527575.1202035,413725299.784771,-508931564.904974
321310,95527575.1202035,409877788.474464,-505084053.594668
321310,95527575.1202035,406064441.904766,-501270707.02497
321310,95527575.1202035,402251095.335068,-497457360.455272
321310,99731796.3684247,398348118.534759,-497758604.903184
321310,99731796.3684247,394445141.734451,-493855628.102875
321310,99731796.3684247,390491383.014355,-489901869.38278
321310,99731796.3684247,386537624.294259,-485948110.662684
321310,103675721.572938,382546884.683539,-485901296.256478
321310,103675721.572938,378556145.07282,-481910556.645758
321310,103675721.572938,374568740.086418,-477923151.659356
321310,103675721.572938,370581335.100016,-473935746.672954
321310,108457768.025473,366615846.189,-474752304.214473
321310,108457768.025473,362650357.277984,-470786815.303457
321310,108457768.025473,358758447.075101,-466894905.100575
321310,108457768.025473,354866536.872219,-463002994.897692
321310,113258036.829675,351082671.940696,-464019398.770371
367000,113258036.829675,347298807.009173,-460189843.838848
367000,113258036.829675,343728492.323502,-456619529.153177
