Date,WikipediaTrend,adjusted,detrended,residual,trend
2013-03-31,23302.0,23302.0,9168.750322973214,9168.750322973214,14133.249677026786
2013-04-01,37507.0,37507.0,23357.565909745797,23357.565909745797,14149.434090254203
2013-04-02,41999.0,41999.0,27833.406755786185,27833.406755786185,14165.593244213813
2013-04-03,66431.0,66431.0,52249.27291500065,52249.27291500065,14181.727084999353
2013-04-04,65877.0,65877.0,51679.16444129545,51679.16444129545,14197.835558704553
2013-04-05,46568.0,46568.0,32354.08138857685,32354.08138857685,14213.918611423149
2013-04-06,30299.0,30299.0,16069.023810751129,16069.023810751129,14229.976189248871
2013-04-07,33661.0,33661.0,19414.99176172454,19414.99176172454,14246.008238275459
2013-04-08,60884.0,60884.0,46621.985295403356,46621.985295403356,14262.014704596644
2013-04-09,76464.0,76464.0,62186.00446569384,62186.00446569384,14277.995534306161
2013-04-10,113236.0,113236.0,98942.04932650225,98942.04932650225,14293.950673497746
2013-04-11,144451.0,144451.0,130141.11993173487,130141.11993173487,14309.880068265129
2013-04-12,132889.0,132889.0,118563.21633529796,118563.21633529796,14325.783664702049
2013-04-13,61147.0,61147.0,46805.33859109777,46805.33859109777,14341.66140890223
2013-04-14,49317.0,49317.0,34959.48675304058,34959.48675304058,14357.51324695942
2013-04-15,64500.0,64500.0,50126.660875032656,50126.660875032656,14373.339124967344
2013-04-16,49371.0,49371.0,34981.86101098026,34981.86101098026,14389.13898901974
2013-04-17,42503.0,42503.0,28098.08721478966,28098.08721478966,14404.91278521034
2013-04-18,39972.0,39972.0,25551.33954036712,25551.33954036712,14420.66045963288
2013-04-19,29276.0,29276.0,14839.618041618909,14839.618041618909,14436.381958381091
2013-04-20,17949.0,17949.0,3496.9227724512966,3496.9227724512966,14452.077227548703
2013-04-21,18111.0,18111.0,3643.2537867705396,3643.2537867705396,14467.74621322946
2013-04-22,21834.0,21834.0,7350.611138482909,7350.611138482909,14483.38886151709
2013-04-23,22338.0,22338.0,7838.994881494664,7838.994881494664,14499.005118505336
2013-04-24,20297.0,20297.0,5782.405069712082,5782.405069712082,14514.594930287918
2013-04-25,18182.0,18182.0,3651.841757041424,3651.841757041424,14530.158242958576
2013-04-26,18090.0,18090.0,3544.3049973889483,3544.3049973889483,14545.695002611052
2013-04-27,14737.0,14737.0,175.79484466093163,175.79484466093163,14561.205155339068
2013-04-28,17575.0,17575.0,2998.311352763638,2998.311352763638,14576.688647236362
2013-04-29,19369.0,19369.0,4776.854575603329,4776.854575603329,14592.145424396671
2013-04-30,20131.0,20131.0,5523.424567086267,5523.424567086267,14607.575432913733
2013-05-01,24884.0,24884.0,10261.021381118733,10261.021381118733,14622.978618881267
2013-05-02,26947.0,26947.0,12308.645071606981,12308.645071606981,14638.354928393019
2013-05-03,24542.0,24542.0,9888.295692457275,9888.295692457275,14653.704307542725
2013-05-04,14134.0,14134.0,-535.0267024241111,-535.0267024241111,14669.026702424111
2013-05-05,13344.0,13344.0,-1340.3220591309127,-1340.3220591309127,14684.322059130913
2013-05-06,18687.0,18687.0,3987.409676243131,3987.409676243131,14699.59032375687
2013-05-07,17571.0,17571.0,2856.1685576042873,2856.1685576042873,14714.831442395713
2013-05-08,16755.0,16755.0,2024.9546388588333,2024.9546388588333,14730.045361141167
2013-05-09,15617.0,15617.0,871.7679739130162,871.7679739130162,14745.232026086984
2013-05-10,13894.0,13894.0,-866.3913833268853,-866.3913833268853,14760.391383326885
2013-05-11,11174.0,11174.0,-3601.523378954613,-3601.523378954613,14775.523378954613
2013-05-12,10183.0,10183.0,-4607.6279590638915,-4607.6279590638915,14790.627959063891
2013-05-13,17615.0,17615.0,2809.294930251537,2809.294930251537,14805.705069748463
2013-05-14,17556.0,17556.0,2735.2453428979443,2735.2453428979443,14820.754657102056
2013-05-15,18229.0,18229.0,3393.2233327815884,3393.2233327815884,14835.776667218412
2013-05-16,18617.0,18617.0,3766.2289538087425,3766.2289538087425,14850.771046191257
2013-05-17,16701.0,16701.0,1835.2622598856706,1835.2622598856706,14865.73774011433
2013-05-18,12662.0,12662.0,-2218.6766950813617,-2218.6766950813617,14880.676695081362
2013-05-19,19673.0,19673.0,4777.412142813913,4777.412142813913,14895.587857186087
2013-05-20,19404.0,19404.0,4493.528827477756,4493.528827477756,14910.471172522244
2013-05-21,15694.0,15694.0,768.6734128164371,768.6734128164371,14925.326587183563
2013-05-22,15174.0,15174.0,233.84595273622654,233.84595273622654,14940.154047263773
2013-05-23,15944.0,15944.0,989.0465011433771,989.0465011433771,14954.953498856623
2013-05-24,15600.0,15600.0,630.2751119441673,630.2751119441673,14969.724888055833
2013-05-25,9981.0,9981.0,-5003.468160955144,-5003.468160955144,14984.468160955144
2013-05-26,10626.0,10626.0,-4373.183263648281,-4373.183263648281,14999.183263648281
2013-05-27,11443.0,11443.0,-3570.870142228996,-3570.870142228996,15013.870142228996
2013-05-28,19251.0,19251.0,4222.471257208994,4222.471257208994,15028.528742791006
2013-05-29,20860.0,20860.0,5816.84098857195,5816.84098857195,15043.15901142805
2013-05-30,17146.0,17146.0,2088.2391057661334,2088.2391057661334,15057.760894233867
2013-05-31,17981.0,17981.0,2908.6656626978147,2908.6656626978147,15072.334337302185
2013-06-01,13715.0,13715.0,-1371.8792867267402,-1371.8792867267402,15086.87928672674
2013-06-02,11739.0,11739.0,-3362.3956886012693,-3362.3956886012693,15101.39568860127
2013-06-03,13894.0,13894.0,-1221.8834890195012,-1221.8834890195012,15115.883489019501
2013-06-04,11585.0,11585.0,-3545.342634075172,-3545.342634075172,15130.342634075172
2013-06-05,12479.0,12479.0,-2665.773069862018,-2665.773069862018,15144.773069862018
2013-06-06,12543.0,12543.0,-2616.1747424737714,-2616.1747424737714,15159.174742473771
2013-06-07,11914.0,11914.0,-3259.5475980041683,-3259.5475980041683,15173.547598004168
2013-06-08,9639.0,9639.0,-5548.891582546939,-5548.891582546939,15187.89158254694
2013-06-09,10994.0,10994.0,-4208.206642195821,-4208.206642195821,15202.20664219582
2013-06-10,18167.0,18167.0,2950.507276955457,2950.507276955457,15216.492723044543
2013-06-11,22042.0,22042.0,6811.250228813151,6811.250228813151,15230.74977118685
2013-06-12,15994.0,15994.0,749.0222672835334,749.0222672835334,15244.977732716467
2013-06-13,11778.0,11778.0,-3481.1765537271294,-3481.1765537271294,15259.17655372713
2013-06-14,10728.0,10728.0,-4545.3461803125665,-4545.3461803125665,15273.346180312567
2013-06-15,7412.0,7412.0,-7875.486558566525,-7875.486558566525,15287.486558566525
2013-06-16,7518.0,7518.0,-7783.597634582728,-7783.597634582728,15301.597634582728
2013-06-17,9194.0,9194.0,-6121.679354454915,-6121.679354454915,15315.679354454915
2013-06-18,10855.0,10855.0,-4474.73166427682,-4474.73166427682,15329.73166427682
2013-06-19,10229.0,10229.0,-5114.754510142171,-5114.754510142171,15343.754510142171
2013-06-20,10317.0,10317.0,-5040.747838144713,-5040.747838144713,15357.747838144713
2013-06-21,9945.0,9945.0,-5426.711594378172,-5426.711594378172,15371.711594378172
2013-06-22,7585.0,7585.0,-7800.645724936281,-7800.645724936281,15385.645724936281
2013-06-23,7914.0,7914.0,-7485.5501759127765,-7485.5501759127765,15399.550175912776
2013-06-24,11888.0,11888.0,-3525.424893401394,-3525.424893401394,15413.424893401394
2013-06-25,11047.0,11047.0,-4380.269823495868,-4380.269823495868,15427.269823495868
2013-06-26,9645.0,9645.0,-5796.084912289929,-5796.084912289929,15441.084912289929
2013-06-27,10083.0,10083.0,-5371.870105877313,-5371.870105877313,15454.870105877313
2013-06-28,9924.0,9924.0,-5544.62535035176,-5544.62535035176,15468.62535035176
2013-06-29,7050.0,7050.0,-8432.350591806991,-8432.350591806991,15482.350591806991
2013-06-30,9319.0,9319.0,-6177.04577633675,-6177.04577633675,15496.04577633675
2013-07-01,11427.0,11427.0,-4082.710850034773,-4082.710850034773,15509.710850034773
2013-07-02,33934.0,33934.0,18410.65424100522,18410.65424100522,15523.34575899478
2013-07-03,21657.0,21657.0,6120.04955068948,6120.04955068948,15536.95044931052
2013-07-04,11731.0,11731.0,-3819.524867075723,-3819.524867075723,15550.524867075723
2013-07-05,10468.0,10468.0,-5096.068958384116,-5096.068958384116,15564.068958384116
2013-07-06,7422.0,7422.0,-8155.582669329444,-8155.582669329444,15577.582669329444
2013-07-07,7614.0,7614.0,-7977.065946005436,-7977.065946005436,15591.065946005436
2013-07-08,10102.0,10102.0,-5502.51873450582,-5502.51873450582,15604.51873450582
2013-07-09,9636.0,9636.0,-5981.940980924341,-5981.940980924341,15617.94098092434
2013-07-10,10002.0,10002.0,-5629.332631354728,-5629.332631354728,15631.332631354728
2013-07-11,9254.0,9254.0,-6390.69363189071,-6390.69363189071,15644.69363189071
2013-07-12,7917.0,7917.0,-7741.023928626031,-7741.023928626031,15658.023928626031
2013-07-13,5605.0,5605.0,-10066.32346765442,-10066.32346765442,15671.32346765442
2013-07-14,6361.0,6361.0,-9323.59219506961,-9323.59219506961,15684.59219506961
2013-07-15,7308.0,7308.0,-8389.830056965338,-8389.830056965338,15697.830056965338
2013-07-16,8023.0,8023.0,-7688.036999435335,-7688.036999435335,15711.036999435335
2013-07-17,8186.0,8186.0,-7538.212968573333,-7538.212968573333,15724.212968573333
2013-07-18,8408.0,8408.0,-7329.357910473076,-7329.357910473076,15737.357910473076
2013-07-19,8872.0,8872.0,-6878.471771228285,-6878.471771228285,15750.471771228285
2013-07-20,5408.0,5408.0,-10355.554496932706,-10355.554496932706,15763.554496932706
2013-07-21,5924.0,5924.0,-9852.606033680067,-9852.606033680067,15776.606033680067
2013-07-22,11066.0,11066.0,-4723.626327564101,-4723.626327564101,15789.626327564101
2013-07-23,7741.0,7741.0,-8061.615324678547,-8061.615324678547,15802.615324678547
2013-07-24,4695.0,4695.0,-11120.57297111713,-11120.57297111713,15815.57297111713
2013-07-25,9340.0,9340.0,-6488.499212973598,-6488.499212973598,15828.499212973598
2013-07-26,8897.0,8897.0,-6944.393996341669,-6944.393996341669,15841.393996341669
2013-07-27,6130.0,6130.0,-9724.25726731509,-9724.25726731509,15854.25726731509
2013-07-28,6193.0,6193.0,-9674.088971987585,-9674.088971987585,15867.088971987585
2013-07-29,7839.0,7839.0,-8040.889056452899,-8040.889056452899,15879.8890564529
2013-07-30,11030.0,11030.0,-4862.65746680476,-4862.65746680476,15892.65746680476
2013-07-31,9172.0,9172.0,-6733.394149136899,-6733.394149136899,15905.394149136899
2013-08-01,7669.0,7669.0,-8249.099049543054,-8249.099049543054,15918.099049543054
2013-08-02,6647.0,6647.0,-9283.772114116959,-9283.772114116959,15930.772114116959
2013-08-03,5591.0,5591.0,-10352.41328895235,-10352.41328895235,15943.41328895235
2013-08-04,5763.0,5763.0,-10193.022520142955,-10193.022520142955,15956.022520142955
2013-08-05,9242.0,9242.0,-6726.599753782515,-6726.599753782515,15968.599753782515
2013-08-06,7462.0,7462.0,-8519.14493596476,-8519.14493596476,15981.14493596476
2013-08-07,7532.0,7532.0,-8461.658012783422,-8461.658012783422,15993.658012783422
2013-08-08,11948.0,11948.0,-4058.1389303322394,-4058.1389303322394,16006.13893033224
2013-08-09,8808.0,8808.0,-7210.587634704947,-7210.587634704947,16018.587634704947
2013-08-10,5431.0,5431.0,-10600.004071995272,-10600.004071995272,16031.004071995272
2013-08-11,6171.0,6171.0,-9872.388188296958,-9872.388188296958,16043.388188296958
2013-08-12,11057.0,11057.0,-4998.73992970373,-4998.73992970373,16055.73992970373
2013-08-13,11704.0,11704.0,-4364.059242309331,-4364.059242309331,16068.059242309331
2013-08-14,16375.0,16375.0,294.65392779251124,294.65392779251124,16080.346072207489
2013-08-15,14167.0,14167.0,-1925.6003654919386,-1925.6003654919386,16092.600365491939
2013-08-16,11747.0,11747.0,-4357.822068256413,-4357.822068256413,16104.822068256413
2013-08-17,7891.0,7891.0,-8226.011126594649,-8226.011126594649,16117.011126594649
2013-08-18,7198.0,7198.0,-8931.167486600381,-8931.167486600381,16129.167486600381
2013-08-19,11525.0,11525.0,-4616.291094367343,-4616.291094367343,16141.291094367343
2013-08-20,12296.0,12296.0,-3857.3818959892615,-3857.3818959892615,16153.381895989261
2013-08-21,12294.0,12294.0,-3871.4398375598776,-3871.4398375598776,16165.439837559878
2013-08-22,10677.0,10677.0,-5500.464865172928,-5500.464865172928,16177.464865172928
2013-08-23,9295.0,9295.0,-6894.456924922144,-6894.456924922144,16189.456924922144
2013-08-24,6606.0,6606.0,-9595.415962901257,-9595.415962901257,16201.415962901257
2013-08-25,6038.0,6038.0,-10175.341925204002,-10175.341925204002,16213.341925204002
2013-08-26,7730.0,7730.0,-8495.23475792412,-8495.23475792412,16225.23475792412
2013-08-27,9948.0,9948.0,-6289.094407155333,-6289.094407155333,16237.094407155333
2013-08-28,10249.0,10249.0,-5999.9208189913825,-5999.9208189913825,16248.920818991382
2013-08-29,8736.0,8736.0,-7524.713939526,-7524.713939526,16260.713939526
2013-08-30,7324.0,7324.0,-8948.473714852928,-8948.473714852928,16272.473714852928
2013-08-31,5596.0,5596.0,-10688.200091065884,-10688.200091065884,16284.200091065884
2013-09-01,5510.0,5510.0,-10785.893014258618,-10785.893014258618,16295.893014258618
2013-09-02,6290.0,6290.0,-10017.552430524851,-10017.552430524851,16307.552430524851
2013-09-03,7159.0,7159.0,-9160.178285958333,-9160.178285958333,16319.178285958333
2013-09-04,6799.0,6799.0,-9531.770526652781,-9531.770526652781,16330.770526652781
2013-09-05,7296.0,7296.0,-9046.329098701939,-9046.329098701939,16342.329098701939
2013-09-06,7251.0,7251.0,-9102.853948199541,-9102.853948199541,16353.853948199541
2013-09-07,5067.0,5067.0,-11298.345021239318,-11298.345021239318,16365.345021239318
2013-09-08,7985.0,7985.0,-8391.802263915002,-8391.802263915002,16376.802263915002
2013-09-09,11786.0,11786.0,-4602.225622320337,-4602.225622320337,16388.225622320337
2013-09-10,8561.0,8561.0,-7838.615042549038,-7838.615042549038,16399.615042549038
2013-09-11,7256.0,7256.0,-9154.970470694858,-9154.970470694858,16410.970470694858
2013-09-12,6593.0,6593.0,-9829.291852851526,-9829.291852851526,16422.291852851526
2013-09-13,6064.0,6064.0,-10369.579135112774,-10369.579135112774,16433.579135112774
2013-09-14,4639.0,4639.0,-11805.832263572334,-11805.832263572334,16444.832263572334
2013-09-15,5013.0,5013.0,-11443.051184323944,-11443.051184323944,16456.051184323944
2013-09-16,7838.0,7838.0,-8629.235843461338,-8629.235843461338,16467.235843461338
2013-09-17,8036.0,8036.0,-8442.386187078242,-8442.386187078242,16478.386187078242
2013-09-18,6979.0,6979.0,-9510.502161268403,-9510.502161268403,16489.502161268403
2013-09-19,6316.0,6316.0,-10184.58371212555,-10184.58371212555,16500.58371212555
2013-09-20,8754.0,8754.0,-7757.630785743408,-7757.630785743408,16511.630785743408
2013-09-21,6022.0,6022.0,-10500.643328215727,-10500.643328215727,16522.643328215727
2013-09-22,5809.0,5809.0,-10724.621285636236,-10724.621285636236,16533.621285636236
2013-09-23,8428.0,8428.0,-8116.564604098654,-8116.564604098654,16544.564604098654
2013-09-24,7001.0,7001.0,-9554.47322969673,-9554.47322969673,16555.47322969673
2013-09-25,6596.0,6596.0,-9970.347108524194,-9970.347108524194,16566.347108524194
2013-09-26,7828.0,7828.0,-8749.18618667479,-8749.18618667479,16577.18618667479
2013-09-27,6296.0,6296.0,-10291.99041024224,-10291.99041024224,16587.99041024224
2013-09-28,4964.0,4964.0,-11634.759725320277,-11634.759725320277,16598.759725320277
2013-09-29,5712.0,5712.0,-10897.494078002637,-10897.494078002637,16609.494078002637
2013-09-30,7069.0,7069.0,-9551.193414383062,-9551.193414383062,16620.193414383062
2013-10-01,6781.0,6781.0,-9849.857680555284,-9849.857680555284,16630.857680555284
2013-10-02,20848.0,20848.0,4206.5131773869725,4206.5131773869725,16641.486822613027
2013-10-03,52661.0,52661.0,36008.91921334997,36008.91921334997,16652.080786650033
2013-10-04,27889.0,27889.0,11226.36048123996,11226.36048123996,16662.63951876004
2013-10-05,16606.0,16606.0,-67.16296503676858,-67.16296503676858,16673.16296503677
2013-10-06,12473.0,12473.0,-4210.651071573964,-4210.651071573964,16683.651071573964
2013-10-07,15642.0,15642.0,-1052.1037844653583,-1052.1037844653583,16694.10378446536
2013-10-08,14265.0,14265.0,-2439.521049804687,-2439.521049804687,16704.521049804687
2013-10-09,13836.0,13836.0,-2878.9028136856796,-2878.9028136856796,16714.90281368568
2013-10-10,11040.0,11040.0,-5685.2490222020715,-5685.2490222020715,16725.24902220207
2013-10-11,8572.0,8572.0,-8163.559621447595,-8163.559621447595,16735.559621447595
2013-10-12,6130.0,6130.0,-10615.834557515995,-10615.834557515995,16745.834557515995
2013-10-13,6208.0,6208.0,-10548.07377650099,-10548.07377650099,16756.07377650099
2013-10-14,8019.0,8019.0,-8747.27722449632,-8747.27722449632,16766.27722449632
2013-10-15,9331.0,9331.0,-7445.4448475957215,-7445.4448475957215,16776.44484759572
2013-10-16,9427.0,9427.0,-7359.576591892932,-7359.576591892932,16786.576591892932
2013-10-17,8501.0,8501.0,-8295.67240348168,-8295.67240348168,16796.67240348168
2013-10-18,9780.0,9780.0,-7026.732228455698,-7026.732228455698,16806.732228455698
2013-10-19,6494.0,6494.0,-10322.756012908721,-10322.756012908721,16816.75601290872
2013-10-20,6638.0,6638.0,-10188.743702934491,-10188.743702934491,16826.74370293449
2013-10-21,8371.0,8371.0,-8465.695244626731,-8465.695244626731,16836.69524462673
2013-10-22,9361.0,9361.0,-7485.610584079182,-7485.610584079182,16846.610584079182
2013-10-23,11510.0,11510.0,-5346.4896673855765,-5346.4896673855765,16856.489667385576
2013-10-24,11532.0,11532.0,-5334.332440639646,-5334.332440639646,16866.332440639646
2013-10-25,11559.0,11559.0,-5317.138849935127,-5317.138849935127,16876.138849935127
2013-10-26,16360.0,16360.0,-525.9088413657555,-525.9088413657555,16885.908841365756
2013-10-27,18735.0,18735.0,1839.3576389747432,1839.3576389747432,16895.642361025257
2013-10-28,19364.0,19364.0,2458.6606449926185,2458.6606449926185,16905.33935500738
2013-10-29,44429.0,44429.0,27514.000230594156,27514.000230594156,16914.999769405844
2013-10-30,78588.0,78588.0,61663.37644968561,61663.37644968561,16924.62355031439
2013-10-31,115738.0,115738.0,98803.78935617325,98803.78935617325,16934.210643826755
2013-11-01,28981.0,28981.0,12037.239003963328,12037.239003963328,16943.76099603667
2013-11-02,19854.0,19854.0,2900.725446962133,2900.725446962133,16953.274553037867
2013-11-03,16620.0,16620.0,-342.75126092408027,-342.75126092408027,16962.75126092408
2013-11-04,27588.0,27588.0,10615.808934210952,10615.808934210952,16972.191065789048
