"TradeVolume","seasonal","trend","remainder"
0,49976.0961674885,1072685.12737477,-1122661.22354226
0,49976.0961674885,1070929.11681978,-1120905.21298726
0,49976.0961674885,1072088.39324525,-1122064.48941273
0,49976.0961674885,1073247.66967072,-1123223.7658382
0,-79396.584781145,1074410.44465482,-995013.85987367
0,-79396.584781145,1075573.21963891,-996176.63485777
0,-79396.584781145,1069904.03761521,-990507.452834069
0,-79396.584781145,1064234.85559151,-984838.270810369
0,-105555.442883357,1052870.63917041,-947315.196287048
0,-105555.442883357,1041506.4227493,-935950.97986594
0,-105555.442883357,1026435.92836328,-920880.485479919
0,-105555.442883357,1011365.43397726,-905809.991093898
0,-126968.419459313,988965.409700627,-861996.990241313
0,-126968.419459313,966565.385423998,-839596.965964685
0,-126968.419459313,940408.195352352,-813439.775893039
0,-126968.419459313,914251.005280706,-787282.585821393
0,-182013.116350296,901162.327009205,-719149.21065891
0,-182013.116350296,888073.648737705,-706060.532387409
0,-182013.116350296,897714.576905642,-715701.460555346
0,-182013.116350296,907355.505073579,-725342.388723283
0,-272495.762824734,930104.648475332,-657608.885650598
0,-272495.762824734,952853.791877085,-680358.029052351
0,-272495.762824734,971739.098229511,-699243.335404777
0,-272495.762824734,990624.404581937,-718128.641757203
0,-305673.692485853,999316.125684661,-693642.433198808
0,-305673.692485853,1008007.84678738,-702334.154301532
0,-305673.692485853,1001459.38355304,-695785.69106719
0,-305673.692485853,994910.9203187,-689237.227832847
0,-367633.940587202,973506.996488526,-605873.055901324
0,-367633.940587202,952103.072658352,-584469.13207115
0,-367633.940587202,924496.058268003,-556862.117680801
0,-367633.940587202,896889.043877655,-529255.103290453
0,-479228.206047512,864955.225529514,-385727.019482002
0,-479228.206047512,833021.407181372,-353793.20113386
0,-479228.206047512,792738.863673958,-313510.657626446
0,-479228.206047512,752456.320166544,-273228.114119032
0,-486304.756578253,709097.583451424,-222792.826873171
0,-486304.756578253,665738.846736303,-179434.090158051
0,-486304.756578253,621734.142412724,-135429.385834471
0,-486304.756578253,577729.438089144,-91424.6815108918
