"NumTransactionsTotal","seasonal","trend","remainder"
6180,1166289.79989404,-3585066.41484884,2424956.61495481
6288,1166289.79989404,-3621188.40338101,2461186.60348697
6394,1166289.79989404,-3657310.39191317,2497414.59201913
6502,1220615.89510978,-3678703.83431854,2464589.93920875
6621,1220615.89510978,-3700097.2767239,2486102.38161412
6732,1220615.89510978,-3747734.30794796,2533850.41283817
6847,1220615.89510978,-3795371.33917201,2581602.44406222
6960,1275423.72441207,-3845064.69959222,2576600.97518015
7065,1275423.72441207,-3894758.06001244,2626399.33560036
7173,1275423.72441207,-3914801.67532382,2646550.95091174
7292,1275423.72441207,-3934845.29063519,2666713.56622312
7407,1321504.47837521,-3967146.24593444,2653048.76755923
7523,1321504.47837521,-3999447.20123368,2685465.72285847
7634,1321504.47837521,-4112015.69960531,2798145.2212301
7765,1321504.47837521,-4224584.19797694,2910844.71960173
7880,1370334.18131855,-4377704.09169221,3015249.91037365
7990,1370334.18131855,-4530823.98540748,3168479.80408892
8114,1370334.18131855,-4555495.76351557,3193275.58219701
8233,1370334.18131855,-4580167.54162366,3218066.3603051
8310,1419491.53809961,-4586145.26858591,3174963.7304863
8407,1419491.53809961,-4592122.99554817,3181038.45744856
8539,1419491.53809961,-4619193.27301095,3208240.73491134
8644,1419491.53809961,-4646263.55047372,3235416.01237411
8760,1471912.4515734,-4695690.6832496,3232538.2316762
8874,1471912.4515734,-4745117.81602547,3282079.36445207
8984,1471912.4515734,-4795531.00659646,3332602.55502306
9106,1471912.4515734,-4845944.19716744,3383137.74559404
9218,1524458.66803215,-4929825.2531639,3414584.58513176
9343,1524458.66803215,-5013706.30916036,3498590.64112822
9457,1524458.66803215,-5047711.0670977,3532709.39906556
9564,1524458.66803215,-5081715.82503505,3566821.1570029
9684,1575522.57902233,-5107706.08042731,3541867.50140498
9797,1575522.57902233,-5133696.33581957,3567970.75679724
9910,1575522.57902233,-5165065.74084444,3599453.1618221
10039,1575522.57902233,-5196435.1458693,3630951.56684697
10156,1633240.54840743,-5291650.75164928,3668566.20324184
10255,1633240.54840743,-5386866.35742925,3763880.80902182
10359,1633240.54840743,-5443403.27271292,3820521.72430548
10458,1633240.54840743,-5499940.18799659,3877157.63958915
10561,1687664.55728465,-5593604.83687064,3916501.27958599
10684,1687664.55728465,-5687269.48574469,4010288.92846004
10799,1687664.55728465,-5715876.72291874,4039011.16563409
10917,1687664.55728465,-5744483.96009279,4067736.40280814
11044,1739882.0154918,-5774380.13231739,4045542.11682558
