"EstimatedTransactionVolumeUSD","seasonal","trend","remainder"
0,2252142.79609002,5012106.18524941,-7264248.98133943
0,2252142.79609002,5549810.56483095,-7801953.36092097
0,2314009.31683149,6095118.17988389,-8409127.49671538
0,2314009.31683149,6640425.79493683,-8954435.11176831
0,2314009.31683149,7189047.88861286,-9503057.20544435
0,2314009.31683149,7737669.9822889,-10051679.2991204
0,2285282.35376351,8269084.70763042,-10554367.0613939
0,2285282.35376352,8800499.43297195,-11085781.7867355
0,2285282.35376352,9272444.11013497,-11557726.4638985
0,2285282.35376352,9744388.78729798,-12029671.1410615
0,2304832.56273946,10150573.9243106,-12455406.4870501
0,2304832.56273946,10556759.0613233,-12861591.6240628
0,2304832.56273946,10857231.5303599,-13162064.0930993
0,2304832.56273946,11157703.9993964,-13462536.5621359
0,2390289.24438735,11379705.7243777,-13769994.9687651
0,2390289.24438735,11601707.449359,-13991996.6937464
0,2390289.24438735,11753748.1650447,-14144037.409432
0,2390289.24438735,11905788.8807303,-14296078.1251177
0,2383584.93180613,11986246.9813339,-14369831.9131401
0,2383584.93180613,12066705.0819375,-14450290.0137437
0,2383584.93180613,12082701.4913018,-14466286.423108
0,2383584.93180613,12098697.9006662,-14482282.8324723
0,2355487.81336055,12061421.0817255,-14416908.8950861
0,2355487.81336055,12024144.2627849,-14379632.0761454
0,2355487.81336055,11935448.2697917,-14290936.0831523
0,2355487.81336055,11846752.2767986,-14202240.0901592
0,2358141.29977797,11726689.6590749,-14084830.9588529
0,2358141.29977797,11606627.0413513,-13964768.3411292
0,2358141.29977797,11464636.0083373,-13822777.3081153
0,2358141.29977797,11322644.9753234,-13680786.2751014
0,2303647.65657873,11145155.4912618,-13448803.1478405
0,2303647.65657873,10967666.0072002,-13271313.6637789
0,2303647.65657873,10773534.7944056,-13077182.4509843
0,2303647.65657873,10579403.581611,-12883051.2381897
0,2399265.61032094,10393694.1212202,-12792959.7315411
0,2399265.61032094,10207984.6608293,-12607250.2711503
0,2399265.61032094,10042602.905276,-12441868.515597
0,2399265.61032094,9877221.14972275,-12276486.7600437
0,2592809.23545902,9755928.4164309,-12348737.6518899
0,2592809.23545902,9634635.68313904,-12227444.9185981
0,2592809.23545902,9586150.87955071,-12178960.1150097
0,2592809.23545902,9537666.07596239,-12130475.3114214
0,2729044.53575814,9562070.54482005,-12291115.0805782
0,2729044.53575814,9586475.01367771,-12315519.5494359
0,2729044.53575814,9658099.68606634,-12387144.2218245
0,2729044.53575814,9729724.35845496,-12458768.8942131
0,3026901.18527472,9829525.50458385,-12856426.6898586
0,3026901.18527472,9929326.65071274,-12956227.8359875
0,3026901.18527472,10033521.6584413,-13060422.843716
0,3026901.18527472,10137716.6661699,-13164617.8514446
0,3464101.19103405,10210210.5079829,-13674311.699017
0,3464101.19103405,10282704.349796,-13746805.54083
0,3464101.19103405,10331387.1626348,-13795488.3536689
0,3464101.19103405,10380069.9754737,-13844171.1665077
0,3561862.0723133,10413125.3110413,-13974987.3833546
0,3561862.0723133,10446180.646609,-14008042.7189223
0,3561862.0723133,10441880.135984,-14003742.2082973
0,3561862.0723133,10437579.625359,-13999441.6976723
0,3482513.4417291,10414046.0509042,-13896559.4926333
0,3482513.4417291,10390512.4764494,-13873025.9181785
0,3482513.4417291,10350272.8804772,-13832786.3222063
0,3482513.4417291,10310033.284505,-13792546.7262341
0,3746163.94046364,10242598.82129,-13988762.7617537
0,3746163.94046364,10175164.3580751,-13921328.2985387
0,3746163.94046364,10103548.5659369,-13849712.5064006
0,3746163.94046364,10031932.7737987,-13778096.7142624
0,4114766.17479396,9980955.75898338,-14095721.9337773
0,4114766.17479396,9929978.74416803,-14044744.918962
0,4114766.17479396,9895359.98926577,-14010126.1640597
0,4114766.17479396,9860741.23436351,-13975507.4091575
0,4626842.99567868,9843037.75913528,-14469880.754814
0,4626842.99567868,9825334.28390704,-14452177.2795857
0,4626842.99567868,9832187.76658216,-14459030.7622608
0,4626842.99567868,9839041.24925728,-14465884.244936
0,5156005.68081332,9869723.38427343,-15025729.0650868
0,5156005.68081332,9900405.51928958,-15056411.2001029
0,5156005.68081332,9943210.51729193,-15099216.1981053
0,5156005.68081332,9986015.51529429,-15142021.1961076
0,5509132.65149047,10041093.6534615,-15550226.3049519
0,5509132.65149047,10096171.7916286,-15605304.4431191
0,5509132.65149047,10162699.6793795,-15671832.33087
0,5509132.65149047,10229227.5671304,-15738360.2186208
0,5934624.59761965,10293964.8793441,-16228589.4769638
0,5934624.59761965,10358702.1915579,-16293326.7891775
0,5934624.59761965,10413909.2947589,-16348533.8923786
0,5934624.59761965,10469116.3979599,-16403740.9955796
