"NetworkDeficit","seasonal","trend","remainder"
0,-128230.509512464,6180.24766610926,122050.261846355
0,-123969.3458024,3845.94919152907,120123.396610871
0,-123969.3458024,1511.65071694887,122457.695085451
0,-123969.3458024,-612.767523804429,124582.113326204
0,-123969.3458024,-2737.18576455773,126706.531566957
0,-121534.436075718,-4688.09563458335,126222.531710302
0,-121534.436075718,-6639.00550460898,128173.441580327
0,-121534.436075718,-8469.12517498601,130003.561250704
0,-121534.436075718,-10299.244845363,131833.680921081
0,-118418.708827563,-12147.9683254402,130566.677153003
0,-118418.708827563,-13996.6918055173,132415.40063308
0,-118418.708827563,-16116.3131843679,134535.022011931
0,-118418.708827563,-18235.9345632186,136654.643390782
0,-116536.584333164,-20588.2609083377,137124.845241502
0,-116536.584333164,-22940.5872534568,139477.171586621
0,-116536.584333164,-25442.8244930097,141979.408826174
0,-116536.584333164,-27945.0617325626,144481.646065727
0,-114124.228005532,-30827.4652346433,144951.693240176
0,-114124.228005532,-33709.868736724,147834.096742256
0,-114124.228005532,-37235.2177489983,151359.445754531
0,-114124.228005532,-40760.5667612726,154884.794766805
0,-111428.193718804,-45055.8766318659,156484.07035067
0,-111428.193718804,-49351.1865024593,160779.380221263
0,-111428.193718804,-54238.6232455615,165666.816964365
0,-111428.193718804,-59126.0599886636,170554.253707468
0,-109971.463187759,-64173.0892863339,174144.552474093
0,-109971.463187759,-69220.1185840041,179191.581771763
0,-109971.463187759,-74481.1841199707,184452.64730773
0,-109971.463187759,-79742.2496559374,189713.712843696
0,-107152.318779943,-85155.1923662176,192307.511146161
0,-107152.318779943,-90568.1350764979,197720.453856441
0,-107152.318779943,-95835.6088221083,202987.927602052
0,-107152.318779943,-101103.082567719,208255.401347662
0,-104058.313901399,-106072.925390331,210131.23929173
0,-104058.313901399,-111042.768212943,215101.082114342
0,-104058.313901399,-115196.926485136,219255.240386536
0,-104058.313901399,-119351.08475733,223409.398658729
0,-101265.790744598,-122201.757326169,223467.548070767
0,-101265.790744598,-125052.429895008,226318.220639606
0,-101265.790744598,-126476.440760744,227742.231505343
0,-101265.790744598,-127900.451626481,229166.242371079
0,-96815.393776885,-128306.199424275,225121.59320116
0,-96815.393776885,-128711.947222069,225527.340998954
0,-96815.393776885,-128413.621999256,225229.015776141
0,-96815.393776885,-128115.296776444,224930.690553329
0,-90858.1829644113,-126804.385640236,217662.568604647
0,-90858.1829644113,-125493.474504028,216351.657468439
0,-90858.1829644113,-123077.042308503,213935.225272914
0,-90858.1829644113,-120660.610112977,211518.793077389
0,-85317.2824695188,-117487.80374228,202805.086211799
0,-85317.2824695188,-114314.997371582,199632.279841101
