Date,AvgBlockSize,BitcoiDaysDestroyed,BitcoinDaysDestroyedCumulative,BitcoinDaysDestroyedMinMonth,BitcoinDaysDestroyedMinWeek,BitcoinDaysDestroyedMinYear,BlockSize,CostPerTransaction,CostPerTransactionPercent,Difficulty,EstimatedTransactionVolume,EstimatedTransactionVolumeUSD,EuroPriceInUSD,HashRate,MarketCap,MarketPrice,MedianConfirmationTime,MinersRevenue,NetworkDeficit,NumTransactions,NumTransactionsExcluding10,NumTransactionsExcluding100,NumTransactionsExcluding1000,NumTransactionsExcluding10000,NumTransactionsExcludingPopular,NumTransactionsPerBlock,NumTransactionsTotal,NumUniqueAdresses,OutputVolume,Open,High,Low,Close,Volume,Adj-Close,TotalBitcoins,TradeVolume,TransactionFees,TransactionFeesUSD,TxTradeRatio,WikipediaTrend,NextDayPrice
2012-02-27,-0.688809843368,-0.353141768944,-0.550961920307,-0.369462274954,-0.357658621107,-0.27048477893,-0.658427071665,-0.263878264555,-0.0293183357213,-0.46648232713,-0.224831556279,-0.588833726378,0.34237649309,-0.468145201535,-0.690575838518,-0.675704669568,0.800190180849,-0.641773865782,0.639923112397,-0.715923024735,-0.613947486207,-0.612454145792,-0.648928317368,-0.700570335465,-0.640153965123,-0.681355384818,-0.670309512563,-0.66773046753,-0.323141733822,-0.337373560934,-0.341441231806,-0.341010512496,-0.33262881733,-0.306720974311,-0.33262881733,-0.0410926327204,-0.431693322724,-0.536891580632,-0.564477171341,-0.527828363212,-0.21549059945,-0.676163697967
2012-02-28,-0.682525476164,-0.314622128206,-0.550491265327,-0.351957546545,-0.327240132113,-0.194625054942,-0.658246069557,-0.306024225625,-0.0293210639161,-0.46648232713,-0.13399210927,-0.586357875119,0.404682591602,-0.468147487081,-0.690858476602,-0.676163697967,0.885477431151,-0.644836887479,0.643020138525,-0.713102053201,-0.598965444349,-0.610810672658,-0.64492042935,-0.697118111545,-0.633559443024,-0.684106272913,-0.670099587067,-0.662190572353,-0.312933366783,-0.33138408572,-0.33852281287,-0.312949159077,-0.320980266391,-0.368699267601,-0.320980266391,-0.039526129591,-0.427416419351,-0.503559670078,-0.563965846128,-0.510831842646,-0.21151186709,-0.676622726366
2012-02-29,-0.703436586522,-0.374040276019,-0.550152087255,-0.416107985946,-0.391162464397,-0.262313040428,-0.658065067449,-0.229933198984,-0.0293180100365,-0.46648232713,-0.178987283522,-0.587894971881,0.39429824185,-0.468137202127,-0.69113854885,-0.676622726366,0.394222869406,-0.635973874636,0.634058409543,-0.709427366599,-0.605393725285,-0.603447913017,-0.639699627852,-0.692621135648,-0.632278767717,-0.673102720536,-0.669883389465,-0.658829392255,-0.331757486249,-0.319608981304,-0.325961010493,-0.318434268073,-0.337475719441,0.433678450821,-0.337475719441,-0.0375836657105,-0.437788591235,-0.615446720697,-0.566011954599,-0.493108517447,-0.212850863557,-0.676236178551
2012-01-03,-0.677058201366,0.39019090093,-0.548121864343,0.325297804444,0.381298186864,-0.270565665419,-0.657884065341,-0.296048038631,-0.0293228764767,-0.46648232713,0.0126729219554,-0.58210612367,-0.0106913984774,-0.468145772922,-0.690875347043,-0.676236178551,0.517036509842,-0.643317425432,0.641499738488,-0.711505977202,-0.608452342827,-0.606800598211,-0.642652808497,-0.69516487959,-0.631762674683,-0.686857161007,-0.669670739721,-0.65890387824,-0.284084561675,-0.607242817199,-0.563033096249,-0.584955586983,-0.562372175871,-0.0448255976762,-0.562372175871,-0.035954502456,-0.440648974487,-0.447589376747,-0.56298736373,-0.386495053526,-0.214457659318,-0.676214741925
2012-02-03,-0.645387841352,-0.237036553192,-0.547479532664,-0.351983379114,-0.255031981512,-0.261318640189,-0.657703063233,-0.40699371099,-0.0293253901151,-0.466478578615,0.274075471363,-0.574437037047,0.127137243685,-0.468149012212,-0.690849864715,-0.676214741925,1.3494400728,-0.649597352006,0.647809063292,-0.693262457352,-0.578021690334,-0.580176333438,-0.616733374799,-0.672838984104,-0.6144066571,-0.689608049101,-0.669426951187,-0.648913445427,-0.164205593941,-0.436322244095,-0.40894399978,-0.413919934049,-0.390210490093,0.545767042585,-0.390210490093,-0.0345655363479,-0.358528695424,-0.552920996683,-0.564853144926,-0.539531671475,-0.106266744757,-0.677173789958
2012-03-03,-0.672546955557,-0.10401601606,-0.54654286113,-0.120079797686,-0.107167932961,-0.269625399328,-0.657582395161,-0.356261153152,-0.0293242835805,-0.466478578615,0.0104110080982,-0.582842012079,0.181891087832,-0.468153362616,-0.69146016303,-0.677173789958,0.921298076278,-0.65481085067,0.653051448725,-0.730287708726,-0.625196977844,-0.648807771519,-0.66933690504,-0.718149423061,-0.646003019507,-0.695109825289,-0.669246358874,-0.676212559135,-0.297461864963,-0.318619202372,-0.339047164383,-0.317977228139,-0.331935104858,-0.588085429272,-0.331935104858,-0.0333227771986,-0.439750354229,-0.620469606299,-0.566162424721,-0.405014380467,-0.194984824978,-0.676622726366
2012-04-03,-0.682982657645,-0.259147221766,-0.545949454609,-0.266044486073,-0.255258688773,-0.270488240998,-0.657461727089,-0.33346745315,-0.0293206379194,-0.466478578615,-0.207853109428,-0.588725045901,0.273462172009,-0.468149944441,-0.691092346271,-0.676622726366,0.57844333006,-0.651061351366,0.649276344045,-0.724423057381,-0.636653833382,-0.636777548177,-0.661004716792,-0.710972431226,-0.643078492315,-0.703362489572,-0.669055756534,-0.665980046869,-0.207779853377,-0.200890759838,-0.222016899883,-0.214797199962,-0.216424596026,-0.152863436718,-0.216424596026,-0.0319651411531,-0.437564201612,-0.576765962612,-0.565337075034,-0.506271980929,-0.214342888192,-0.675980086607
2012-05-03,-0.661283140585,-0.365988974471,-0.545592461101,-0.388592346405,-0.369837658077,-0.270066655582,-0.657280724981,-0.359618865081,-0.029319750641,-0.466478578615,-0.236155218486,-0.589282550279,0.0922080672468,-0.468149322955,-0.690664446099,-0.675980086607,0.779721240777,-0.64950041334,0.647712501187,-0.71120903283,-0.600624355558,-0.615017963881,-0.642230925548,-0.694801487598,-0.628283825344,-0.717116930043,-0.668842599953,-0.655682359365,-0.290768094655,-0.243170545643,-0.262442604756,-0.25520082317,-0.271773335141,0.0095397678012,-0.271773335141,-0.0305866183993,-0.407317430762,-0.546817532088,-0.564704561224,-0.576398576546,-0.214955000863,-0.675934183767
2012-06-03,-0.66826566695,-0.339106575344,-0.545175983835,-0.383250144856,-0.343665144753,-0.269125445291,-0.657099722873,-0.312956588918,-0.0293210845247,-0.466478578615,-0.138487751142,-0.58636953718,-0.591585630027,-0.468144351064,-0.690621592427,-0.675934183767,0.725137400582,-0.644985123037,0.643160661099,-0.711505977202,-0.603838496026,-0.607392248539,-0.642652808497,-0.69516487959,-0.635719387943,-0.706113377666,-0.668629950209,-0.660449462441,-0.324102600007,-0.531218775886,-0.545176052863,-0.556047525084,-0.559648336702,0.210460656097,-0.559648336702,-0.0290410019783,-0.437887385049,-0.537411782003,-0.564527574973,-0.470079845159,-0.216714824791,-0.675842378088
2012-07-03,-0.679845468272,-0.353586327267,-0.544791546494,-0.38851142193,-0.365898863582,-0.253350062109,-0.656918720765,-0.299570108317,-0.0293205994565,-0.466478578615,-0.159880805567,-0.58695801632,-0.425121356761,-0.468144040321,-0.690548791554,-0.675842378088,1.23003792238,-0.644543517432,0.642716692565,-0.714085681433,-0.60632686284,-0.624451499671,-0.646317916619,-0.698321847517,-0.637401468942,-0.719867818137,-0.668421703611,-0.66344752336,-0.305407930471,-0.335977648183,-0.334157732125,-0.319145405874,-0.316310870581,-1.66807591866,-0.316310870581,-0.0274849422031,-0.431902707838,-0.527695211696,-0.564335781434,-0.503430441659,-0.221190898696,-0.676163697967
