"EstimatedTransactionVolume","seasonal","trend","remainder"
50,-14535.5170438918,32090.8423823261,-17505.3253384343
0,-13778.0199183501,32947.725263122,-19169.7053447719
51,-13778.0199183501,33804.608143918,-19975.5882255679
101,-13778.0199183501,35565.4517138588,-21686.4317955088
50,-13778.0199183501,37326.2952837997,-23498.2753654496
500,-16044.6658519992,39482.2836745207,-22937.6178225215
0,-16044.6658519992,41638.2720652417,-25593.6062132425
0,-16044.6658519992,42634.5521963158,-26589.8863443166
0,-16044.6658519992,43630.8323273899,-27586.1664753907
0,-19677.4294920524,44347.5240508901,-24670.0945588377
0,-19677.4294920524,45064.2157743902,-25386.7862823378
0,-19677.4294920524,45808.7971316288,-26131.3676395764
0,-19677.4294920524,46553.3784888673,-26875.948996815
0,-32242.6538569955,46473.3819893768,-14230.7281323814
0,-32242.6538569955,46393.3854898864,-14150.7316328909
0,-32242.6538569955,46688.6018341243,-14445.9479771289
0,-32242.6538569955,46983.8181783623,-14741.1643213669
0,-32572.8427505474,46956.4651396737,-14383.6223891263
3000,-32572.8427505474,46929.1121009852,-11356.2693504378
0,-32572.8427505474,45357.0571211294,-12784.214370582
0,-32572.8427505474,43785.0021412737,-11212.1593907263
0,-17145.0846016897,41559.8659541039,-24414.7813524142
0,-17145.0846016897,39334.729766934,-22189.6451652444
0,-17145.0846016897,37861.7022661696,-20716.6176644799
0,-17145.0846016897,36388.6747654051,-19243.5901637154
0,-6702.40776080474,35269.3419702531,-28566.9342094483
0,-6702.40776080474,34150.0091751011,-27447.6014142964
0,-6702.40776080474,33604.8408208944,-26902.4330600896
0,-6702.40776080474,33059.6724666876,-26357.2647058829
0,-12634.5267713397,33599.1013868237,-20964.5746154841
0,-12634.5267713397,34138.5303069599,-21504.0035356202
0,-12634.5267713397,34874.7537851358,-22240.2270137961
0,-12634.5267713397,35610.9772633117,-22976.450491972
0,-21354.6845210751,36301.0743998443,-14946.3898787693
0,-21354.6845210751,36991.171536377,-15636.4870153019
0,-21354.6845210751,37399.8549888601,-16045.170467785
0,-21354.6845210751,37808.5384413432,-16453.8539202681
0,-13882.0715160458,37954.8578843585,-24072.7863683127
0,-13882.0715160458,38101.1773273737,-24219.1058113279
0,-13882.0715160458,38190.0938945597,-24308.0223785139
0,-13882.0715160458,38279.0104617457,-24396.9389456999
0,-14429.6050435273,38043.3476064869,-23613.7425629596
3000,-14429.6050435273,37807.6847512282,-20378.0797077008
0,-14429.6050435273,37425.3363653663,-22995.731321839
125,-14429.6050435273,37042.9879795044,-22488.3829359771
0,-14621.9530956973,36471.8730234921,-21849.9199277947
1000,-14621.9530956973,35900.7580674797,-20278.8049717824
0,-14621.9530956973,33603.1600084727,-18981.2069127754
25,-14621.9530956973,31305.5619494657,-16658.6088537683
0,-16490.6118747264,28364.2333356568,-11873.6214609304
125,-16490.6118747264,25422.904721848,-8807.29284712157
100,-16490.6118747264,23386.5587254475,-6795.94685072109
0,-16490.6118747264,21350.212729047,-4859.60085432061
10,-21285.8244807581,20768.887874564,526.936606194104
0,-21285.8244807581,20187.5630200809,1098.26146067715
0,-21285.8244807581,20357.1066827955,928.717797962559
0,-21285.8244807581,20526.6503455101,759.174135247966
0,-22093.0140399878,21134.0772160545,958.93682393328
0,-22093.0140399878,21741.5040865989,351.50995338889
0,-22093.0140399878,22003.4096993434,89.6043406443787
0,-22093.0140399878,22265.3153120879,-172.301272100132
0,-22948.1727134092,22016.1579558781,932.014757531131
0,-22948.1727134092,21767.0005996683,1181.17211374095
0,-22948.1727134092,21692.7290161786,1255.44369723066
0,-22948.1727134092,21618.4574326889,1329.71528072038
0,-18333.5648310369,22854.4892409378,-4520.92440990093
0,-18333.5648310369,24090.5210491868,-5756.95621814987
0,-18333.5648310369,25945.7289760997,-7612.16414506278
0,-18333.5648310369,27800.9369030126,-9467.37207197568
0,-22530.1944072135,29047.6599779459,-6517.46557073239
0,-22530.1944072135,30294.3830528793,-7764.18864566574
6000,-22530.1944072135,31308.7214940727,-2778.52708685919
0,-22530.1944072135,32323.0599352661,-9792.86552805263
0,-26972.1716699542,33852.754845937,-6880.58317598273
0,-26972.1716699542,35382.4497566078,-8410.27808665356
0,-26972.1716699542,36993.4051588291,-10021.2334888749
0,-26972.1716699542,38604.3605610505,-11632.1888910963
0,-18997.691822715,40417.0276905473,-21419.3358678324
0,-18997.691822715,42229.6948200442,-23232.0029973292
0,-18997.691822715,43947.8836946238,-24950.1918719088
105,-18997.691822715,45666.0725692034,-26563.3807464884
0,-7311.60874007288,46122.1333589268,-38810.5246188539
0,-7311.60874007288,46578.1941486501,-39266.5854085772
0,-7311.60874007288,45692.8513019667,-38381.2425618938
0,-7311.60874007288,44807.5084552833,-37495.8997152105
0,-8020.56429658973,43358.9436308221,-35338.3793342324
0,-8020.56429658973,41910.3788063609,-33889.8145097712
0,-8020.56429658973,40556.0999335895,-32535.5356369998
0,-8020.56429658973,39201.8210608181,-31181.2567642284
5500,-8058.54389586329,38607.4528402075,-25048.9089443443
0,-8058.54389586329,38013.084619597,-29954.5407237337
0,-8058.54389586329,37106.6328074882,-29048.0889116249
0,-8058.54389586329,36200.1809953794,-28141.6370995161
0,-5446.1951103532,34392.5364667631,-28946.3413564099
0,-5446.1951103532,32584.8919381467,-27138.6968277935
0,-5446.1951103532,29791.6940010826,-24345.4988907294
