"TransactionFeesUSD","seasonal","trend","remainder"
0,525.347645664359,1186.90514004997,-1712.25278571432
0,548.620470041518,1198.33764138355,-1746.95811142507
0,548.620470041518,1209.77014271713,-1758.39061275865
0,548.620470041518,1222.03320342211,-1770.65367346363
0,548.620470041518,1234.29626412709,-1782.91673416861
0,559.668078038671,1246.51743443441,-1806.18551247308
0,559.668078038671,1258.73860474172,-1818.40668278039
0,559.668078038671,1268.06113881132,-1827.72921684999
0,559.668078038671,1277.38367288091,-1837.05175091958
0,577.58687600389,1283.06184087423,-1860.64871687812
0,577.58687600389,1288.74000886755,-1866.32688487144
0,577.58687600389,1291.24426794805,-1868.83114395194
0,577.58687600389,1293.74852702854,-1871.33540303243
0,595.387004928198,1293.77979608624,-1889.16680101444
0,595.387004928198,1293.81106514394,-1889.19807007214
0,595.387004928198,1292.39823511135,-1887.78524003954
0,595.387004928198,1290.98540507875,-1886.37241000695
0,593.727970797496,1290.67904168288,-1884.40701248038
0,593.727970797496,1290.37267828701,-1884.10064908451
0,593.727970797496,1292.71873256059,-1886.44670335809
0,593.727970797496,1295.06478683417,-1888.79275763167
0,918.616880592309,1298.86800666419,-2217.4848872565
0,918.616880592309,1302.67122649422,-2221.28810708653
0,918.616880592309,1305.65768325571,-2224.27456384802
0,918.616880592309,1308.64414001721,-2227.26102060952
0,923.554208597042,1310.79539580272,-2234.34960439976
0,923.554208597042,1312.94665158822,-2236.50086018527
0,923.554208597042,1313.05298787717,-2236.60719647421
0,923.554208597042,1313.15932416612,-2236.71353276316
0,601.408805959376,1313.16533146515,-1914.57413742452
0,601.408805959376,1313.17133876417,-1914.58014472355
0,601.408805959376,1314.03028581427,-1915.43909177364
0,601.408805959376,1314.88923286437,-1916.29803882374
0,593.385181256755,1317.69418806602,-1911.07936932277
0,593.385181256755,1320.49914326767,-1913.88432452442
0,593.385181256755,1326.25808667485,-1919.64326793161
0,593.385181256755,1332.01703008204,-1925.40221133879
0,576.208645495063,1340.9244344181,-1917.13307991316
0,576.208645495063,1349.83183875416,-1926.04048424922
0,576.208645495063,1362.87900700692,-1939.08765250199
0,576.208645495063,1375.92617525968,-1952.13482075475
0,575.504841472374,1392.78156300858,-1968.28640448095
