"BitcoiDaysDestroyed","seasonal","trend","remainder"
452,325893.417458348,1149303.39358509,-1474744.81104344
394,325893.417458348,1160249.05591353,-1485748.47337188
62,325893.417458348,1171194.71824198,-1497026.13570032
4027,561536.66294475,1170603.58686187,-1728113.24980662
0,561536.66294475,1170012.45548177,-1731549.11842652
0,561536.66294475,1171824.95559385,-1733361.6185386
0,561536.66294475,1173637.45570592,-1735174.11865067
0,562069.717718056,1170809.90921239,-1732879.62693045
0,562069.717718056,1167982.36271886,-1730052.08043691
0,562069.717718056,1097114.0503875,-1659183.76810555
0,562069.717718056,1026245.73805613,-1588315.45577419
0,-34609.4235279428,932194.421663285,-897584.998135342
0,-34609.4235279428,838143.105270437,-803533.681742494
0,-34609.4235279428,740782.385353933,-706172.96182599
0,-34609.4235279428,643421.665437429,-608812.241909486
0,306020.282073713,561732.209104606,-867752.491178319
26554,306020.282073713,480042.752771784,-759509.034845497
0,306020.282073713,426399.612163997,-732419.89423771
0,306020.282073713,372756.471556211,-678776.753629924
2101,940431.273763731,330138.976979553,-1268469.25074328
0,940431.273763731,287521.482402894,-1227952.75616663
0,940431.273763731,237169.899366793,-1177601.17313052
0,940431.273763731,186818.316330691,-1127249.59009442
0,482780.495532098,156294.983268597,-639075.478800694
0,482780.495532098,125771.650206502,-608552.1457386
0,482780.495532098,102564.352170541,-585344.847702639
0,482780.495532098,79357.0541345807,-562137.549666679
0,96435.068334335,64175.7511972697,-160610.819531605
0,96435.068334335,48994.4482599586,-145429.516594294
0,96435.068334335,62772.9051132818,-159207.973447617
0,96435.068334335,76551.3619666049,-172986.43030094
0,320057.40773175,89726.7301913812,-409784.137923131
0,320057.40773175,102902.098416158,-422959.506147908
0,320057.40773175,111057.216578092,-431114.624309842
0,320057.40773175,119212.334740026,-439269.742471776
0,182615.231852386,184258.943042571,-366874.174894956
0,182615.231852386,249305.551345116,-431920.783197502
0,182615.231852386,320980.528591254,-503595.76044364
0,182615.231852386,392655.505837393,-575270.737689778
0,55603.2834369716,437748.979905026,-493352.263341997
45690,55603.2834369716,482842.453972659,-492755.737409631
0,55603.2834369716,517057.945590627,-572661.229027598
6471,55603.2834369716,551273.437208594,-600405.720645566
0,85936.6303142919,547453.908325162,-633390.538639453
6946,85936.6303142919,543634.379441729,-622625.009756021
0,85936.6303142919,507412.040850233,-593348.671164525
84,85936.6303142919,471189.702258736,-557042.332573028
0,135712.372018859,461907.098399953,-597619.470418813
243,135712.372018859,452624.49454117,-588093.86656003
159,135712.372018859,457008.860763533,-592562.232782393
0,135712.372018859,461393.226985896,-597105.599004755
109,-41856.2241066923,501003.406709509,-459038.182602817
0,-41856.2241066923,540613.586433123,-498757.36232643
0,-41856.2241066923,614020.673147035,-572164.449040342
0,-41856.2241066923,687427.759860947,-645571.535754255
0,-9224.12373698314,743378.362534217,-734154.238797234
0,-9224.12373698314,799328.965207488,-790104.841470505
0,-9224.12373698314,875627.176523632,-866403.052786649
0,-9224.12373698314,951925.387839776,-942701.264102793
0,224036.327601346,1022812.0835873,-1246848.41118865
0,224036.327601346,1093698.77933482,-1317735.10693617
0,224036.327601346,1087913.30755775,-1311949.63515909
0,224036.327601346,1082127.83578067,-1306164.16338202
0,364582.175320994,1074927.96133012,-1439510.13665111
0,364582.175320994,1067728.08687956,-1432310.26220055
0,364582.175320994,1073369.44729365,-1437951.62261465
0,364582.175320994,1079010.80770775,-1443592.98302874
0,152721.630866358,1069602.20971847,-1222323.84058482
0,152721.630866358,1060193.61172918,-1212915.24259554
98511,152721.630866358,1078931.26131988,-1133141.89218624
0,152721.630866358,1097668.91091058,-1250390.54177694
0,-154321.930574476,1131183.08392497,-976861.153350498
0,-154321.930574476,1164697.25693937,-1010375.3263649
0,-154321.930574476,1137838.14562791,-983516.215053438
0,-154321.930574476,1110979.03431646,-956657.103741981
0,261368.688377427,1049262.4033941,-1310631.09177153
0,261368.688377427,987545.772471742,-1248914.46084917
0,261368.688377427,932190.372029013,-1193559.06040644
609,261368.688377427,876834.971586284,-1137594.65996371
0,421328.09118695,832740.126098358,-1254068.21728531
0,421328.09118695,788645.280610432,-1209973.37179738
0,421328.09118695,769057.10362358,-1190385.19481053
0,421328.09118695,749468.926636728,-1170797.01782368
0,243289.020365156,768250.467014684,-1011539.48737984
0,243289.020365156,787032.007392641,-1030321.0277578
0,243289.020365156,830791.881106054,-1074080.90147121
0,243289.020365156,874551.754819467,-1117840.77518462
67851,305247.786960029,915270.621324656,-1152667.40828469
0,305247.786960029,955989.487829845,-1261237.27478987
0,305247.786960029,962922.075057181,-1268169.86201721
0,305247.786960029,969854.662284517,-1275102.44924455
0,875019.070885302,932919.158217846,-1807938.22910315
0,875019.070885302,895983.654151174,-1771002.72503648
0,875019.070885302,839540.210004198,-1714559.2808895
0,875019.070885302,783096.765857221,-1658115.83674252
0,1201559.37736303,736605.333381218,-1938164.71074425
0,1201559.37736303,690113.900905214,-1891673.27826825
