"MarketCap","seasonal","trend","remainder"
0,301286173.845869,4834484.62146944,-306120658.467339
0,301168686.794074,47659884.1115774,-348828570.905651
0,301036156.783417,85941334.7566251,-386977491.540042
0,300953742.467541,124222785.401673,-425176527.869213
0,291555815.684601,151645089.966763,-443200905.651364
0,291438453.394408,179067394.531854,-470505847.926262
0,291305894.668695,236332569.275117,-527638463.943811
0,291223326.685846,293597744.018379,-584821070.704226
0,281248650.498181,331231908.38816,-612480558.886342
0,281131412.969592,368866072.757941,-649997485.727533
0,280998825.528821,423241877.613971,-704240703.142792
0,280916103.879001,477617682.470001,-758533786.349002
0,271691306.568752,485940999.5015,-757632306.070253
0,271574193.801767,494264316.532999,-765838510.334766
0,271441577.645939,492768441.268099,-764210018.914038
0,271358702.329147,491272566.003199,-762631268.332346
0,262414519.896559,488152099.450377,-750566619.346936
0,262297531.891177,485031632.897555,-747329164.788732
0,262164887.020291,479515758.984915,-741680646.005206
0,262081858.036527,473999885.072275,-736081743.108803
0,252556329.818393,466491620.584159,-719047950.402553
0,252439466.574614,458983356.096044,-711422822.670658
0,252306792.988671,449860259.641121,-702167052.629792
0,252223610.337936,440737163.186198,-692960773.524134
0,245808438.860986,430140261.264511,-675948700.125497
0,245691705.80653,419543359.342825,-665235065.149355
0,245559003.50553,407972048.749465,-653531052.254995
0,245475667.187823,396400738.156105,-641876405.343928
0,238732386.818179,384352875.054733,-623085261.872912
0,238615783.953047,372305011.953362,-610920795.906409
0,238483052.936989,360282856.012976,-598765908.949965
0,238399562.952311,348260700.07259,-586660263.0249
0,231944981.644887,336771112.588416,-568716094.233303
0,231828508.969078,325281525.104243,-557110034.073321
0,231695749.237963,314567110.235234,-546262859.473198
0,231612105.586313,303852695.366226,-535464800.952539
0,226362887.62782,293987789.035618,-520350676.663439
0,226246545.141336,284122882.705011,-510369427.846346
0,226113756.695163,275713202.564055,-501826959.259218
0,226029959.441869,267303522.423099,-493333481.864968
0,219294616.691966,260808664.175831,-480103280.867798
0,219178404.394805,254313805.928564,-473492210.323369
0,219045587.233575,249846655.823232,-468892243.056807
0,218961636.378638,245379505.717899,-464341142.096537
0,214310279.345209,242605477.130374,-456915756.475583
0,214194197.237372,239831448.542849,-454025645.78022
0,214061351.361084,238060009.743541,-452121361.104625
0,213977246.904503,236288570.944232,-450265817.848736
0,210677337.998844,235313723.313002,-445991061.311845
0,210561386.080329,234338875.681771,-444900261.762101
0,210428511.488985,233971963.12201,-444400474.610995
0,210344253.430761,233605050.562248,-443949303.993008
0,205694569.106457,233913844.812119,-439608413.918576
0,205578747.377266,234222639.06199,-439801386.439257
0,205445844.070865,234781404.690319,-440227248.761184
0,205361432.410997,235340170.318648,-440701602.729644
0,201345031.659758,235012691.326203,-436357722.985961
0,201229340.119891,234685212.333758,-435914552.453649
0,201096427.877585,233263721.620858,-434360149.498443
0,201011842.836921,231842230.907959,-432854073.744879
0,198437429.185532,229249741.287339,-427687170.472871
0,198321867.834988,226657251.66672,-424979119.501708
0,198188946.656778,223208217.633125,-421397164.289904
0,198104188.235317,219759183.599531,-417863371.834848
0,193553838.272764,215975345.311141,-409529183.583905
0,193438407.111544,212191507.022751,-405629914.134295
0,193305476.99743,208293718.230387,-401599195.227816
0,193220545.195172,204395929.438023,-397616474.633194
0,190698622.020506,200282368.138276,-390980990.158783
0,190583321.04861,196168806.83853,-386752127.88714
0,190450381.998592,191909368.478633,-382359750.477225
0,190365276.815537,187649930.118736,-378015206.934273
0,191267710.085468,183488548.435377,-374756258.520846
0,191152539.302895,179327166.752019,-370479706.054914
0,191019591.316973,175520335.537843,-366539926.854816
0,190934312.753121,171713504.323667,-362647817.076788
0,191335262.234519,168389877.621096,-359725139.855615
0,191220221.641269,165066250.918525,-356286472.559795
0,191087264.719443,162205506.534563,-353292771.254006
0,191001812.774794,159344762.1506,-350346574.925395
0,191172786.917463,157128170.823671,-348300957.741134
0,191057876.513537,154911579.496742,-345969456.010279
0,190924910.655807,153348925.000879,-344273835.656686
0,190839285.330362,151786270.505017,-342625555.835378
0,192521775.723154,151284004.7354,-343805780.458555
0,192406995.508552,150781738.965784,-343188734.474336
0,192274020.714918,151460404.634302,-343734425.34922
0,192188222.008676,152139070.30282,-344327292.311496
0,192564650.434516,153738804.895996,-346303455.330512
0,192450000.409238,155338539.489171,-347788539.898409
0,192317016.679699,157497857.268404,-349814873.948103
0,192231044.59266,159657175.047636,-351888219.640296
0,192350495.036646,161969218.837027,-354319713.873673
0,192235975.200691,164281262.626418,-356517237.827109
0,192102982.535248,166688267.316275,-358791249.851523
0,192016837.067413,169095272.006132,-361112109.073545
0,194047632.595692,172287207.723607,-366334840.319299
0,193933242.94906,175479143.441083,-369412386.390142
0,193800241.347713,180149235.599815,-373949476.947529
0,193713922.499081,184819327.758548,-378533250.257629
0,197862919.044443,191189380.581125,-389052299.625568
0,197748659.587135,197559433.403703,-395308092.990837
0,197615649.049884,205979731.006489,-403595380.056372
0,197529156.820455,214400028.609275,-411929185.429729
0,201522423.57285,224024733.394126,-425547156.966976
0,201408294.304865,233649438.178977,-435057732.483843
0,201275274.83171,243770689.000986,-445045963.832696
0,201188609.221485,253891939.822995,-455080549.044479
0,206163631.161431,264129590.575643,-470293221.737074
0,206049632.08277,274367241.328291,-480416873.411061
0,205916603.673711,284445166.968186,-490361770.641897
0,205829764.682689,294523092.608081,-500352857.29077
